date,event_timestamp_utc,impact_pips,ttr_minutes,r_squared_72h
2025-10-15,2025-10-15 12:30:00,5.800000000000249,82.0,0.08012894980658558
2025-09-11,2025-09-11 12:30:00,57.10000000000104,97.0,0.7422197609853229
2025-08-12,2025-08-12 12:30:00,62.599999999999326,75.0,0.572074324237065
2025-07-15,2025-07-15 12:30:00,24.69999999999972,5.0,0.00829734175034047
2025-06-11,2025-06-11 12:30:00,53.90000000000006,6.0,0.13239170701525993
2025-05-13,2025-05-13 12:30:00,34.79999999999927,68.0,0.5534985137769493
2025-04-10,2025-04-10 12:30:00,40.19999999999912,110.0,0.36625483356537636
2025-02-12,2025-02-12 12:30:00,4.999999999999449,114.0,0.6606632993488611
2025-01-15,2025-01-15 12:30:00,49.89999999999828,2.0,0.7537154988824788
2024-12-11,2024-12-11 12:30:00,21.599999999999397,15.0,0.6130136575453297
2024-11-13,2024-11-13 12:30:00,26.399999999999757,0.0,0.7704245844045277
2024-10-10,2024-10-10 12:30:00,22.399999999997977,2.0,0.7819522983425488
2024-09-11,2024-09-11 12:30:00,0.0,0.0,0.45983184566874713
2024-08-14,2024-08-14 12:30:00,18.700000000000383,120.0,0.8037024236891039
2024-07-11,2024-07-11 12:30:00,51.399999999999224,21.0,0.101517382536637
2024-06-12,2024-06-12 12:30:00,77.70000000000054,118.0,0.27675959411616147
2024-05-15,2024-05-15 12:30:00,37.8999999999996,1.0,0.8375835765874081
2024-04-10,2024-04-10 12:30:00,0.1000000000006551,0.0,0.45858926056873384
2024-03-12,2024-03-12 11:30:00,7.300000000001194,11.0,0.22749543861723476
2024-02-13,2024-02-13 12:30:00,6.500000000000394,0.0,0.4257979473888507
2024-02-09,2024-02-09 12:30:00,23.300000000001653,44.0,0.37985007840938967
2024-01-11,2024-01-11 12:30:00,11.000000000001007,0.0,0.15851031983536357
2023-12-12,2023-12-12 12:30:00,17.799999999998928,0.0,0.3056579730397492
2023-11-14,2023-11-14 12:30:00,117.3999999999986,120.0,0.5615336785927683
2023-10-12,2023-10-12 12:30:00,1.3999999999980697,0.0,0.8019093933341708
2023-09-13,2023-09-13 12:30:00,23.300000000001653,22.0,0.12900847861903364
2023-08-10,2023-08-10 12:30:00,35.30000000000033,2.0,0.0010498495522444085
2023-07-12,2023-07-12 12:30:00,81.39999999999814,109.0,0.7400707409548941
2023-06-13,2023-06-13 12:30:00,27.29999999999899,6.0,0.6320125885037696
