date,num_events,base_score_avg,max_surprise,adjusted_score,impact_pred_baseline,impact_real,error_baseline,amp_optimal,impact_pred_optimal,error_optimal,improvement,ttr_minutes,r2_inversion,duration_hours,amplitude_inversion,reversal_type,quality_score,cluster,amp_inversion,impact_pred_inversion,error_inversion
2025-09-11,11,44.30998119579335,33.33333333333335,84.18896427200735,56.25901763993152,57.10000000000104,0.8409823600695177,2.5373717473398947,57.1000167570636,1.6757062560657232e-05,0.840965603006957,97.0,0.6376423334826076,54.583333333333336,115.99999999999832,PEAK,0.619678541251718,C3_CPI,2.570542808982282,57.84648529389334,0.7464852938922988
2025-08-12,11,44.30998119579334,3.5714285714285587,44.30998119579334,20.211806652595538,62.499999999998664,42.28819334740313,4.9999936677422125,40.42356211064304,22.076437889355624,20.211755458047502,75.0,0.428811685295364,108.48333333333332,88.99999999999908,PEAK,0.5483613072877428,C3_CPI,2.346333482216938,18.969455474031985,43.530544525966675
2025-07-15,11,44.30998119579334,33.33333333333333,84.18896427200734,56.259017639931514,45.29999999999923,10.959017639932284,2.0130106898011864,45.300001562758254,1.562759024409388e-06,10.95901607717326,120.0,0.0168144357337687,35.3,43.400000000000105,PEAK,0.2374990054464465,C3_CPI,1.9039959864746752,42.846777515775024,2.453222484224206
2025-06-11,11,44.309981195793334,66.66666666666666,84.18896427200733,56.25901763993149,54.00000000000071,2.259017639930782,2.3996141067970127,53.99997294532864,2.7054672074200425e-05,2.258990585258708,6.0,0.3668277749119039,119.06666666666666,76.10000000000116,TROUGH,0.42117448930081,C3_CPI,2.279784961020479,51.303384934920665,2.696615065080046
2025-05-13,11,44.309981195793334,33.33333333333333,84.18896427200733,56.25901763993149,34.600000000000186,21.659017639931307,1.5375337874555182,34.600056188180275,5.618818008912285e-05,21.658961451751217,68.0,0.4108385084603226,35.4,177.5000000000015,PEAK,0.7699284376526405,C3_CPI,2.327036727104604,52.36672011157855,17.766720111578366
2025-04-10,11,44.30998119579335,200.0,84.18896427200735,56.25901763993152,40.10000000000069,16.15901763993083,1.7819388163550065,40.100050921038005,5.092103731385578e-05,16.158966718893517,110.0,0.0888549856584977,45.916666666666664,217.6,TROUGH,0.4234988444629329,C3_CPI,1.9813417369123512,44.58733589107381,4.487335891073123
2025-10-01,2,63.30574015023315,0.0,63.30574015023315,37.382358107898,38.000000000000256,0.617641892102256,2.541305706980786,38.00000000000025,7.105427357601002e-15,0.6176418921022488,95.0,0.0254891708814767,29.033333333333335,62.699999999999974,PEAK,0.2295152267992652,C1_Manufacturing,1.9133095453043705,28.609609037530987,9.390390962469269
2025-09-02,2,63.30574015023315,0.5628517823639722,63.30574015023315,37.382358107898,36.399999999998656,0.9823581078993442,2.434303361423594,36.399999999998656,0.0,0.9823581078993442,32.0,0.0647481568491862,116.45,123.40000000000018,PEAK,0.2243442699524394,C1_Manufacturing,1.9554596362499193,29.239876955133777,7.1601230448648785
2025-07-01,2,63.30574015023315,1.7307692307692282,63.30574015023315,37.382358107898,32.10000000000157,5.282358107896428,2.1467345577391233,32.10000000000157,0.0,5.282358107896428,105.0,0.7027512365298622,25.066666666666663,121.89999999999924,TROUGH,0.4321135513567835,C1_Manufacturing,2.6404464531330487,39.48244595029949,7.382445950297921
2025-06-02,2,63.30574015023315,0.5736137667303961,63.30574015023315,37.382358107898,33.10000000000146,4.282358107896542,2.2136110237122937,33.10000000000146,0.0,4.282358107896542,51.0,0.471215376048,71.96666666666667,124.40000000000006,TROUGH,0.4037025987975363,C1_Manufacturing,2.3918598598753062,35.765344730306175,2.6653447303047173
