cluster_time,num_events,similarity,impact_measured,prices_available
2023-03-14 16:30:00+00:00,6,100.0,20.500000000001073,True
2023-04-12 16:30:00+00:00,6,100.0,4.500000000000615,True
2023-08-10 12:30:00+00:00,6,100.0,41.29999999999967,True
2023-09-13 12:30:00+00:00,6,100.0,30.799999999999716,True
2023-10-12 12:30:00+00:00,6,100.0,54.69999999999864,True
2023-11-14 13:30:00+00:00,6,100.0,96.60000000000002,True
2023-12-12 13:30:00+00:00,6,100.0,34.899999999999935,True
2024-02-13 13:30:00+00:00,6,100.0,92.40000000000137,True
2024-03-12 12:30:00+00:00,6,100.0,31.49999999999986,True
2024-04-10 12:30:00+00:00,6,100.0,96.00000000000053,True
2024-05-15 12:30:00+00:00,6,100.0,39.70000000000029,True
2024-06-12 12:30:00+00:00,6,100.0,72.10000000000161,True
2024-07-11 12:30:00+00:00,6,100.0,52.49999999999977,True
2024-08-14 12:30:00+00:00,6,100.0,23.400000000000087,True
2024-09-11 12:30:00+00:00,6,100.0,44.69999999999974,True
2024-10-10 12:30:00+00:00,6,100.0,23.799999999998267,True
2024-11-13 13:30:00+00:00,6,100.0,28.099999999999792,True
2024-12-11 13:30:00+00:00,6,100.0,24.599999999999067,True
2025-01-15 13:30:00+00:00,6,100.0,52.1999999999978,True
2025-02-12 13:30:00+00:00,6,100.0,49.9000000000005,True
2025-03-12 12:30:00+00:00,6,100.0,38.399999999998435,True
2025-04-10 12:30:00+00:00,6,100.0,32.69999999999884,True
2025-05-13 12:30:00+00:00,6,100.0,35.09999999999902,True
2025-06-11 12:30:00+00:00,6,100.0,52.400000000001334,True
2025-07-15 12:30:00+00:00,6,100.0,22.899999999999032,True
2025-08-12 12:30:00+00:00,6,100.0,51.000000000001044,True
2025-09-11 12:30:00+00:00,6,100.0,60.100000000000705,True
2025-10-15 12:30:00+00:00,6,100.0,11.400000000001409,True
2025-10-24 12:30:00+00:00,6,100.0,7.300000000001194,True
2025-11-13 13:30:00+00:00,6,100.0,,False
2025-12-10 13:30:00+00:00,6,100.0,,False
