movement_id,date,r2_trend,amp_ideal,impact_real,num_events,total_score
16,2023-01-04,0.26518589204324033,5.0,38.49999999999909,4,86.30258338888889
22,2023-01-05,0.008852776575420298,5.0,39.799999999998725,4,82.29993705456621
30,2023-01-06,0.06001111378336996,1.3455097682318586,36.70000000000062,9,354.3288601468123
79,2023-01-18,0.6734151021120492,3.8207723541742697,63.80000000000052,6,199.2828424088235
80,2023-01-18,0.706581405328463,2.8283017649298032,67.39999999999968,13,447.1591682426945
81,2023-01-18,0.045218553457837256,1.912668402402963,46.800000000000175,12,423.8106682426945
90,2023-01-24,0.7292953469052464,2.9937885025972686,40.599999999999525,7,163.40675
199,2023-03-10,0.7234917056277945,1.1387593253486694,35.60000000000008,7,357.735139770028
272,2023-03-30,0.7196031894666209,5.0,40.000000000000036,5,112.88151693349515
348,2023-04-27,0.009371168329959545,5.0,36.10000000000113,4,101.63124429468084
419,2023-06-15,0.3766160176133362,4.286631615759183,81.7000000000001,13,357.6300377655675
422,2023-06-15,0.5401643678194282,2.496792787683522,46.599999999998865,15,404.09092676556753
449,2023-07-06,0.6791784413444262,2.825192720179766,44.99999999999949,6,191.34927996840077
549,2023-09-01,0.8137074511302831,1.5083997903423834,43.80000000000051,10,419.1233012238095
608,2023-10-12,0.27303134625786984,3.8737823859231515,66.89999999999863,7,204.1210988
609,2023-10-12,0.4107088070487699,2.6462173515115612,45.69999999999963,7,204.1210988
633,2023-10-27,0.023436856253041313,5.0,49.9000000000005,5,110.057733
653,2023-11-03,0.1622870638463027,2.668760502254737,88.30000000000115,9,429.81158203333337
685,2023-11-30,0.009752772422676886,5.0,46.60000000000109,4,79.00968619999999
686,2023-11-30,0.7707660462153798,4.649790707741973,42.9999999999997,7,116.048563
743,2024-01-02,0.7718849453552408,5.0,37.59999999999985,3,75.54058375
778,2024-01-31,0.29679153181207696,4.305011198515,48.50000000000021,6,143.3184149683908
791,2024-02-02,0.17532220762827722,1.1279389594563796,36.300000000000225,7,367.84141029146343
812,2024-03-07,0.7415846699929076,5.0,40.200000000001346,5,89.37098862992127
836,2024-04-03,0.2737725274919481,1.9013672471865406,36.000000000000476,6,222.31405777297297
917,2024-08-02,0.8869916351190505,1.382777222640292,47.10000000000214,10,491.64685508513514
918,2024-08-02,0.7632020793978225,1.2056633466067015,40.200000000001346,13,625.6453058403075
980,2024-09-19,0.9039543472268913,5.0,37.69999999999829,5,102.6394361
