direction,n,impact_median,impact_q1,impact_q3,phase1_ratio_median,phase1_ratio_q1,phase1_ratio_q3,phase1_time_med,phase1_time_q1,phase1_time_q3,pullback_ratio_med,pullback_ratio_q1,pullback_ratio_q3,pullback_time_med,pullback_time_q1,pullback_time_q3,phase2_ratio_med,phase2_ratio_q1,phase2_ratio_q3,phase2_time_med,phase2_time_q1,phase2_time_q3
DOWN,84,51.594999999999835,43.389999999999816,67.4950000000002,1.0025184845731399,0.9745429729506078,1.0478096103360177,69.0,55.0,70.0,,,,,,,0.8379507684806646,0.7619738609550915,0.9481345046954035,89.5,80.0,111.25
UP,76,50.535000000001546,44.017499999999266,60.88250000000017,0.988907216311944,0.9702255962957136,1.0231864476941284,65.5,52.75,70.0,,,,,,,0.8458906688836816,0.7461311753651598,0.9108268165937963,93.0,81.5,110.25
