group_id,pattern_type,movement_id,movement_datetime,impact_pips,num_events,total_score,peak1_amplitude_pips,peak1_time_min,peak2_amplitude_pips,peak2_time_min,dip_ratio,high_events,n_high_events
1,DOUBLE_WAVE,1,2023-01-04 08:21:00+01:00,53.25000000000024,11,145.35620390720484,58.499999999999105,80.0,47.699999999999406,103.0,0.4649572649572815,,0
1,DOUBLE_WAVE,6,2023-01-10 14:45:00+01:00,44.10000000000025,10,123.06469878409068,40.99999999999993,61.0,34.79999999999927,97.0,0.665853658536616,,0
1,DOUBLE_WAVE,7,2023-01-12 13:55:00+01:00,81.2799999999969,10,116.67578571428868,80.80000000000086,70.0,67.20000000000059,106.0,0.618811881188099,,0
1,DOUBLE_WAVE,21,2023-02-03 16:15:00+01:00,56.36000000000196,8,228.8757392533947,52.90000000000017,42.0,38.19999999999935,66.0,0.5879017013232813,,0
1,DOUBLE_WAVE,27,2023-02-17 15:56:00+01:00,42.67999999999938,3,31.51138888888994,42.099999999998246,50.0,32.69999999999884,62.0,0.4061757719714844,,0
1,DOUBLE_WAVE,37,2023-03-15 19:24:00+01:00,42.26000000000063,16,265.6753015533171,39.70000000000029,50.0,35.799999999999166,73.0,0.4458438287153744,,0
1,DOUBLE_WAVE,39,2023-03-22 18:49:00+01:00,120.75999999999976,11,212.85015019571804,121.99999999999989,69.0,102.19999999999897,110.0,0.4918032786885255,,0
1,DOUBLE_WAVE,47,2023-04-12 14:15:00+02:00,67.63999999999993,4,58.87001282051441,66.90000000000084,30.0,66.90000000000084,122.0,0.4753363228699432,,0
1,DOUBLE_WAVE,54,2023-04-26 14:24:00+02:00,55.589999999998696,9,131.02726359084073,58.30000000000002,70.0,55.899999999999835,99.0,0.4253859348199034,,0
1,DOUBLE_WAVE,60,2023-05-02 16:00:00+02:00,40.79999999999862,19,170.58605401874644,36.10000000000113,52.0,34.30000000000044,86.0,0.5235457063711602,,0
1,DOUBLE_WAVE,67,2023-05-19 17:12:00+02:00,42.05000000000014,6,65.30532790309084,40.19999999999912,19.0,38.599999999999746,114.0,0.4427860696517795,,0
1,DOUBLE_WAVE,92,2023-08-15 14:40:00+02:00,43.61999999999977,20,293.94009023313583,50.99999999999882,50.0,43.29999999999945,83.0,0.4372549019607855,,0
1,DOUBLE_WAVE,107,2023-10-19 17:03:00+02:00,48.06000000000088,7,118.34323806335286,50.700000000001296,70.0,43.80000000000051,88.0,0.5187376725838393,,0
1,DOUBLE_WAVE,108,2023-10-27 14:46:00+02:00,50.89000000000121,10,211.9843925252764,53.19999999999992,94.0,38.000000000000256,121.0,0.4285714285714405,,0
1,DOUBLE_WAVE,110,2023-11-01 14:46:00+01:00,45.079999999999565,19,447.1837890793577,46.49999999999821,70.0,34.999999999998366,95.0,0.4408602150537557,,0
1,DOUBLE_WAVE,116,2023-12-01 17:03:00+01:00,47.31999999999958,5,71.9599603174627,45.69999999999963,61.0,44.500000000000654,122.0,0.3019693654266844,,0
1,DOUBLE_WAVE,136,2024-02-22 08:15:00+01:00,44.88000000000048,15,164.9364841768648,46.500000000000426,70.0,44.69999999999974,84.0,0.6129032258064501,,0
