pattern,n,mean_impact,med_impact,std_impact,mean_score,med_score,mean_score_adjust_adjusted,mean_latency,med_latency,lat_q1,lat_q3,mean_pullback,med_phase2
SINGLE_WAVE_FORT_UP,114,58.113801169590566,50.299999999999784,23.37106363251562,244.29686765523007,184.80707804768355,244.29686765523007,,,,,,
SINGLE_WAVE_FORT_DOWN,118,59.50211864406792,54.27999999999989,18.06538725963276,228.11405158336223,177.0648283130389,228.11405158336223,,,,,85.98305084745763,
SINGLE_WAVE_STANDARD_UP,1,40.040000000001186,40.040000000001186,,154.05615347553095,154.05615347553095,154.05615347553095,,,,,,
SINGLE_WAVE_STANDARD_DOWN,1,41.49999999999877,41.49999999999877,,94.83492654405602,94.83492654405602,94.83492654405602,,,,,56.0,
DOUBLE_WAVE_UP,76,55.91644736842085,50.535000000001546,19.838163201529433,249.9485793320913,208.23274416288655,249.9485793320913,,,,,,
DOUBLE_WAVE_DOWN,84,58.750304232804204,51.594999999999835,20.97027238671357,221.4923766098144,182.48755846479833,221.4923766098144,,,,,63.916666666666664,
