event_key,country,empirical_score,avg_movement_pips,sample_size,min_impact,max_impact,median_impact,std_impact
10 year btp auction,IT,8.34102564102583,8.34102564102583,39,0.10000000000065512,25.600000000001177,6.500000000000394,5.956023365692519
10 year btp short term auction,IT,5.166666666667208,5.166666666667208,3,0.40000000000040004,10.40000000000152,4.699999999999704,4.095797304012941
10 year bund auction,DE,7.528301886792503,7.528301886792503,53,0.1999999999990898,44.30000000000156,5.5000000000005045,7.296791162377903
10 year bund/€i auction,DE,16.255555555555468,16.255555555555468,9,0.10000000000065512,57.89999999999962,9.099999999999664,16.8924776888748
10 year index linked oat auction,FR,12.114285714285458,12.114285714285458,14,0.2999999999997449,26.100000000000012,11.299999999999644,7.105014038676967
10 year ktb auction,KR,9.542857142857013,9.542857142857013,14,2.0999999999982144,31.90000000000026,4.750000000000032,9.29198689238021
10 year ntn f auction,BR,8.295238095238037,8.295238095238037,42,0.09999999999843467,24.999999999999467,6.749999999999812,6.170241655410998
10 year oat auction,FR,10.120833333333302,10.120833333333302,24,0.2999999999997449,49.399999999999444,4.750000000000032,12.58159963222285
10 year obligacion auction,ES,11.683870967741623,11.683870967741623,31,0.2999999999997449,41.400000000000325,6.599999999998829,10.62289362116441
10 year treasury gilt auction,UK,8.316129032257964,8.316129032257964,31,0.10000000000065512,27.200000000000557,6.200000000000649,6.510492611766561
12 month bot auction,IT,7.753846153846278,7.753846153846278,39,0.10000000000065512,28.999999999999027,5.60000000000116,6.488287125465634
12 month btf auction,FR,9.167391304347712,9.167391304347712,92,0.2999999999997449,35.70000000000073,7.300000000000084,7.641123134718259
12 month bubill auction,DE,6.677142857142826,6.677142857142826,35,0.10000000000065512,24.999999999999467,5.899999999998684,5.1591298111368395
12 month letras auction,ES,6.955555555555666,6.955555555555666,36,0.10000000000065512,63.80000000000052,5.1000000000001044,11.015429694661263
15 year btp auction,IT,10.468181818181966,10.468181818181966,22,0.9999999999998899,40.19999999999912,7.650000000001267,9.321987027922697
15 year bund auction,DE,7.830000000000151,7.830000000000151,30,0.1999999999990898,31.400000000001427,5.199999999999649,8.308034264092374
15 year index linked obligacion auction,ES,13.099999999999541,13.099999999999541,7,0.7999999999985796,41.400000000000325,6.599999999998829,13.321625812404577
15 year obligacion auction,ES,10.820000000000054,10.820000000000054,10,1.900000000001345,33.199999999999896,7.949999999999902,9.610598316441898
15 year treasury gilt auction,UK,9.374999999999524,9.374999999999524,8,0.2999999999997449,38.10000000000091,4.099999999999104,12.188903765311014
16 year index linked treasury gilt auction,UK,14.566666666666615,14.566666666666615,3,6.800000000000139,24.100000000000232,12.799999999999478,7.1723233489730225
2 year ktb auction,KR,6.521428571428631,6.521428571428631,14,0.9999999999998899,15.099999999999003,6.849999999999357,4.297869666877693
2 year ltn auction,BR,8.93333333333328,8.93333333333328,42,0.09999999999843467,27.500000000000302,7.249999999999757,6.713620365547941
2 year schatz auction,DE,6.695652173913078,6.695652173913078,46,0.10000000000065512,38.90000000000171,4.100000000000215,7.3524310242242725
20 year oat auction,FR,5.5454545454545405,5.5454545454545405,11,0.2999999999997449,13.900000000000023,4.499999999998394,4.457550007135483
20 year obligacion auction,ES,14.599999999999724,14.599999999999724,5,1.7000000000000348,43.100000000000364,8.500000000000174,14.96930192093149
3 month btf auction,FR,9.167391304347712,9.167391304347712,92,0.2999999999997449,35.70000000000073,7.300000000000084,7.641123134718259
3 month bubill auction,DE,9.834285714285622,9.834285714285622,35,0.40000000000040004,40.299999999999784,6.299999999999084,9.505936276337906
3 month green atb auction,AT,6.960000000000299,6.960000000000299,5,1.500000000000945,13.699999999998713,7.0000000000014495,4.030682324370778
3 month letras auction,ES,10.361111111111143,10.361111111111143,36,0.09999999999843467,42.399999999997995,8.299999999999974,8.42596113138734
3 year bonos auction,ES,10.273529411764745,10.273529411764745,34,0.09999999999843467,41.400000000000325,5.899999999999794,10.534769011776444
3 year btp auction,IT,10.057142857143145,10.057142857143145,35,0.6000000000017103,40.19999999999912,6.099999999999994,10.525595625203731
3 year oat auction,FR,7.324999999999916,7.324999999999916,20,0.700000000000145,15.999999999998238,7.400000000000739,5.152754117944891
3 year treasury gilt auction,UK,4.649999999999695,4.649999999999695,14,0.1999999999990898,10.900000000000354,4.300000000000415,3.3982663647386957
30 year btp auction,IT,10.510000000000463,10.510000000000463,20,0.6000000000017103,40.19999999999912,7.300000000001194,11.064036333996514
30 year bund auction,DE,7.685294117646991,7.685294117646991,34,0.700000000000145,29.600000000000737,5.249999999999977,6.932749745313378
30 year bund/€i auction,DE,23.374999999999925,23.374999999999925,4,0.10000000000065512,57.89999999999962,17.74999999999971,23.03316901774462
30 year ktb auction,KR,6.62142857142897,6.62142857142897,14,0.10000000000065512,20.800000000000818,5.650000000000377,5.044682996047736
30 year oat auction,FR,5.191666666666631,5.191666666666631,12,0.2999999999997449,13.900000000000023,4.099999999999104,4.426145488897438
4 month bot auction,IT,23.600000000001398,23.600000000001398,1,23.600000000001398,23.600000000001398,23.600000000001398,0.0
5 year bobl auction,DE,7.852631578947158,7.852631578947158,38,0.2999999999997449,48.799999999999955,5.950000000000122,8.637791410031374
5 year btp auction,IT,8.462500000000233,8.462500000000233,40,0.10000000000065512,23.200000000000998,6.700000000000594,6.10432991818094
5 year btp€i auction,IT,5.962500000000482,5.962500000000482,8,1.500000000000945,11.400000000001409,6.150000000000322,3.3996093525578934
5 year index linked obligacion auction,ES,27.29999999999899,27.29999999999899,2,20.099999999998452,34.49999999999953,27.29999999999899,7.200000000000539
5 year ktb auction,KR,7.3285714285717,7.3285714285717,14,0.20000000000131024,20.000000000000018,6.200000000000649,6.4029489379533775
5 year oat auction,FR,7.1399999999999695,7.1399999999999695,25,0.700000000000145,37.00000000000037,5.20000000000076,7.160446913426695
5 year treasury gilt auction,UK,6.37777777777805,6.37777777777805,36,0.40000000000040004,23.299999999999432,3.750000000000142,6.215576808448718
50 year obligacion auction,ES,20.099999999998452,20.099999999998452,1,20.099999999998452,20.099999999998452,20.099999999998452,0.0
6 month atb auction,AT,10.27142857142798,10.27142857142798,7,2.0999999999982144,33.799999999999386,5.699999999999594,10.065884999160781
6 month bot auction,IT,9.588888888888762,9.588888888888762,36,0.1999999999990898,44.29999999999934,5.849999999999467,9.79125964481052
6 month btf auction,FR,9.167391304347712,9.167391304347712,92,0.2999999999997449,35.70000000000073,7.300000000000084,7.641123134718259
6 month letras auction,ES,6.869444444444669,6.869444444444669,36,0.10000000000065512,63.80000000000052,4.750000000000032,11.028695385836919
6 month t bill auction,SG,4.891044776119398,4.891044776119398,67,0.10000000000065512,26.399999999999757,2.900000000001235,5.190109173880455
7 year btp auction,IT,10.357142857143145,10.357142857143145,35,0.6000000000017103,40.19999999999912,6.099999999999994,10.552082684455842
7 year bund auction,DE,9.34705882352939,9.34705882352939,17,0.2999999999997449,24.999999999999467,5.799999999998029,7.2398503110182135
7 year index linked obligacion auction,ES,23.95000000000036,23.95000000000036,2,4.8000000000003595,43.100000000000364,23.95000000000036,19.150000000000002
7 year obligacion auction,ES,9.736363636363734,9.736363636363734,22,0.40000000000040004,38.899999999999494,6.199999999998429,8.881622776299903
9 month bubill auction,DE,8.055172413792967,8.055172413792967,29,0.40000000000040004,25.699999999999612,6.299999999999084,6.344945651075424
absa manufacturing pmi,ZA,11.531578947368441,11.531578947368441,38,0.2999999999997449,44.6000000000013,8.950000000000902,10.78747093093979
anz roy morgan consumer confidence,NZ,4.622857142857166,4.622857142857166,35,0.1999999999990898,30.49999999999997,2.500000000000835,5.828750697523287
atb auction,AT,9.799999999999981,9.799999999999981,13,1.500000000000945,33.799999999999386,7.900000000000684,8.216119241138852
auto exports_yoy,MX,12.541666666666456,12.541666666666456,36,0.5999999999994898,61.70000000000009,7.099999999999884,15.663215488667907
auto production_mom,BR,12.08000000000024,12.08000000000024,15,0.10000000000065512,25.599999999998957,12.199999999999989,8.318830045945766
auto production_yoy,MX,10.003389830508244,10.003389830508244,59,0.5999999999994898,61.70000000000009,5.20000000000076,13.103679986439454
auto sales_mom,BR,12.08000000000024,12.08000000000024,15,0.10000000000065512,25.599999999998957,12.199999999999989,8.318830045945766
auto sales_yoy,TR,7.212499999999788,7.212499999999788,24,0.9999999999998899,22.799999999998377,5.1000000000001044,6.269390753228156
autumn statement,UK,20.499999999999964,20.499999999999964,2,13.400000000001189,27.599999999998737,20.499999999999964,7.099999999998774
average earnings excl. bonus,UK,7.7148936170211275,7.7148936170211275,47,0.2999999999997449,25.200000000000777,7.300000000001194,5.842251778188653
