date,num_events,score_ajuste,impact_real,impact_pred_interp,impact_pred_emp,error_interp,error_emp
2024-03-05,3,56.94036315667039,30.399999999999316,17.11769393413709,23.905297159091727,13.282306065862226,6.494702840907589
2024-03-06,6,40.352062883333325,25.199999999998557,20.855486916377046,24.208713105830416,4.344513083621511,0.991286894168141
2024-03-08,7,84.37246807142856,40.99999999999993,52.473541256371156,43.34545374174047,11.473541256371227,2.345453741740542
2024-03-12,5,90.02035916,33.90000000000004,43.489613125201245,51.42338218198021,9.589613125201204,17.523382181980168
2024-03-14,8,62.96099207500001,33.799999999999386,43.620130841464906,31.91322192593027,9.82013084146552,1.8867780740691167
2024-03-14,3,36.57504623333333,21.700000000000053,8.629966127169187,21.805741264240023,13.070033872830866,0.10574126423997043
2024-03-20,2,26.7494293,20.100000000000673,1.7354241542837987,22.59907351798358,18.364575845716875,2.4990735179829073
2024-03-20,1,47.587273,57.79999999999896,9.747173079346002,37.903792604139994,48.05282692065296,19.896207395858966
2024-03-21,7,42.543909552609485,31.09999999999946,25.803471087685207,25.297305027300105,5.296528912314255,5.802694972699356
2024-03-21,3,47.254630199999994,41.499999999998764,13.080935495431394,22.906749589137952,28.41906450456737,18.59325041086081
2024-03-21,5,44.986915599999996,20.199999999999108,19.748477048248397,29.805927016870797,0.4515229517507109,9.60592701687169
2024-03-26,1,19.489487,27.500000000000302,0.8232600501739995,22.40973496628675,26.676739949826302,5.090265033713553
2024-03-29,6,35.061600833333316,22.300000000001763,17.774339453330544,24.28831315716197,4.525660546671219,1.9883131571602064
2024-04-01,3,48.704767833333335,42.29999999999956,13.685314674047055,23.056251068926976,28.6146853259525,19.24374893107258
2024-04-04,2,22.456884822978445,20.400000000000418,0.18338601790502415,21.996338919113064,20.216613982095392,1.5963389191126467
2024-04-05,7,46.121892996057994,53.40000000000123,28.084808835822898,26.841130097344315,25.31519116417833,26.558869902656912
2024-04-10,5,90.02035916,117.59999999999992,43.489613125201245,51.42338218198021,74.11038687479868,66.17661781801971
2024-04-10,4,38.4080611,30.200000000000227,12.837047888726133,25.161455894572093,17.362952111274094,5.038544105428134
2024-04-11,7,71.59403870000001,30.000000000001137,44.32595931595438,37.83182855839226,14.325959315953241,7.831828558391123
2024-04-19,1,14.078647,28.400000000001757,0.8952335555059998,19.426017073738137,27.504766444495758,8.97398292626362
2024-04-23,6,40.56319971057833,23.800000000000487,20.978452300775118,24.205536350732682,2.82154769922537,0.40553635073219496
2024-04-23,4,32.65462451290552,35.199999999999676,10.121533217100499,25.160941939755066,25.078466782899177,10.03905806024461
2024-04-25,8,51.8703503125,38.000000000000256,35.93640114070375,26.847672863594784,2.063598859296505,11.152327136405471
2024-04-25,3,39.04829523333333,23.500000000000743,9.660751181478851,22.060720086172108,13.839248818521892,1.439279913828635
2024-04-26,2,31.7034,23.499999999998522,3.526611524399999,23.294681812472955,19.973388475598522,0.20531818752556674
2024-04-26,6,53.29363326666666,27.89999999999848,28.392614369062436,24.013994826578372,0.49261436906395417,3.8860051734201093
2024-04-26,5,22.539375,33.8000000000016,7.914380566874999,19.030408554887263,25.885619433126603,14.76959144511434
2024-04-29,4,29.49579999999999,24.399999999999977,8.63062701173333,25.16065976178196,15.769372988266648,0.7606597617819837
2024-05-01,1,47.587273,56.70000000000064,9.747173079346002,37.903792604139994,46.952826920654644,18.796207395860648
2024-05-02,5,37.584701018126815,28.599999999998627,15.846110945045258,26.252633526601393,12.753889054953369,2.3473664733972335
2024-05-02,2,28.767763022727266,22.099999999998232,2.4651850050754063,22.882476421149054,19.634814994922827,0.7824764211508217
2024-05-10,4,46.75994449673255,26.299999999999102,16.778980950160495,25.162201968790164,9.521019049838607,1.1377980312089377
2024-05-14,4,66.79459215,29.50000000000008,26.234960662413197,25.163991665002662,3.2650393375868845,4.33600833499742
2024-05-17,1,34.7009293,23.200000000000998,5.654444547538599,30.797832297196702,17.5455554524624,7.597832297195705
2024-05-23,5,19.751250999999996,22.400000000000198,6.444512263438998,17.692022217976064,15.9554877365612,4.707977782024134
2024-05-29,2,31.7034,21.999999999999797,3.526611524399999,23.294681812472955,18.473388475599798,1.2946818124731578
2024-05-29,1,27.8299707,29.799999999999827,3.4722143542614,27.00895624213302,26.327785645738427,2.791043757866806
2024-05-31,6,53.29363326666666,27.29999999999899,28.392614369062436,24.013994826578372,1.092614369063444,3.2860051734206195
2024-05-31,1,27.76012442073171,30.799999999999716,3.450031036273233,26.970440670949852,27.349968963726482,3.8295593290498644
2024-06-03,6,49.985144266666666,30.999999999998806,26.465761403759107,24.063774201563188,4.5342385962397,6.936225798435618
2024-06-04,1,30.94493333333333,21.700000000000053,4.461532716533332,28.72665067473443,17.23846728346672,7.026650674734377
2024-06-04,2,46.22992315,22.199999999998887,8.778908393652896,25.334413293571945,13.42109160634599,3.1344132935730578
2024-06-07,7,84.37246807142857,84.69999999999978,52.47354125637117,43.34545374174047,32.226458743628605,41.354546258259305
2024-06-12,5,90.02035916,77.19999999999949,43.489613125201245,51.42338218198021,33.710386874798246,25.776617818019282
2024-06-12,2,58.6878156,36.79999999999906,13.283258735229596,27.08367945699043,23.516741264769465,9.716320543008628
2024-06-13,6,61.39278923333334,24.900000000001032,33.10953580686255,23.892135294349252,8.20953580686152,1.0078647056517802
2024-06-13,1,19.643125,33.69999999999873,0.8720557862500001,22.49445609083957,32.82794421374873,11.20554390915916
2024-06-18,2,67.66560059999999,47.20000000000057,16.529320546539598,28.344288792476068,30.670679453460973,18.855711207524504
2024-06-18,3,40.317095599999995,27.800000000000047,10.189553762562529,22.191526657916267,17.610446237437518,5.60847334208378
2024-06-21,6,49.53102352480329,20.599999999999508,26.201282997433683,24.07060688158648,5.601282997434176,3.470606881586974
2024-06-27,13,44.862112200000006,24.399999999999977,31.081009677506405,,6.681009677506427,
2024-06-28,6,34.9129890759875,22.999999999999687,17.687788461224862,24.290549162902373,5.312211538774825,1.2905491629026855
2024-07-01,1,38.217549999999996,25.800000000000267,6.7713303150999975,32.737014402728704,19.02866968490027,6.937014402728437
2024-07-01,4,36.286199999999994,20.799999999998597,11.835569057599997,25.16126634859954,8.9644309423986,4.361266348600942
2024-07-01,6,49.985144266666666,36.399999999998656,26.465761403759107,24.063774201563188,9.934238596239549,12.336225798435468
2024-07-03,4,23.057721440149727,50.39999999999934,5.591974108950456,25.160084647858636,44.808025891048885,25.239915352140702
2024-07-16,7,62.08272637142856,31.600000000000517,38.26150535957047,33.727896090857776,6.661505359569954,2.1278960908572593
2024-07-18,6,71.49782396666666,26.399999999999757,38.99467435210677,23.74009540144794,12.594674352107013,2.6599045985518153
2024-07-24,1,23.77693452380953,26.800000000000157,2.184961958630954,24.773976727298667,24.615038041369203,2.02602327270149
2024-07-25,8,53.98564905,23.500000000000743,37.401905489628604,27.81381619107408,13.901905489627861,4.313816191073336
