date,num_events,num_events_total,score_ajuste,impact_real,impact_pred_interp,impact_pred_emp,error_interp,error_emp
2020-01-02,1,1,8.626667,21.199999999998997,2.6267933074660004,21.571235733365068,18.573206692533,0.3712357333660705
2020-01-02,2,2,20.282959499999997,25.800000000000267,0.6026314654230014,23.12910357888262,25.197368534577265,2.6708964211176465
2020-01-03,4,4,44.30934235,29.600000000000737,15.622342481476133,30.06936981564511,13.977657518524603,0.46936981564437374
2020-01-15,1,1,38.457899999999995,26.800000000000157,6.8476659557999975,29.497530479345322,19.95233404420016,2.697530479345165
2020-01-17,2,2,43.401406449999996,21.400000000000308,7.756212924500697,27.786750355507177,13.64378707549961,6.386750355506869
2020-02-10,2,2,29.98708915,23.800000000000487,2.9060518756088984,25.084183359199322,20.89394812439159,1.2841833591988348
2020-02-14,1,1,20.012538,22.400000000000198,0.9893820938759998,24.5965136186509,21.410617906124198,2.1965136186507017
2020-02-24,2,2,20.629498891304355,25.199999999998557,0.47733460386664983,23.19892046936722,24.72266539613191,2.001079530631337
2020-02-25,2,2,16.813415,20.299999999999763,1.8571007921100018,22.430098460081574,18.44289920788976,2.130098460081811
2020-02-28,1,1,37.1355,58.400000000000674,6.4276690709999995,29.146162764437786,51.97233092900068,29.253837235562887
2020-02-28,4,4,37.330374925,36.40000000000087,12.328400130934734,28.693156205062063,24.07159986906614,7.706843794938809
2020-02-28,2,2,46.22992315,36.89999999999971,8.778908393652896,28.35660834462196,28.12109160634681,8.543391655377746
2020-02-28,14,14,30.313696028571428,45.399999999999885,21.00169237294663,33.08506841860487,24.398307627053256,12.314931581395015
2020-03-02,4,4,22.665790174999998,23.100000000000342,5.406989867850066,25.801381548799277,17.693010132150278,2.7013815487989348
2020-03-02,1,1,16.274767299999997,20.000000000000018,0.19774135598540113,23.60337088596235,19.802258644014618,3.603370885962331
2020-03-02,3,3,20.565657333333334,24.500000000000632,1.9576744142235538,24.051184184554547,22.54232558577708,0.4488158154460855
2020-03-02,5,5,39.48166712,40.000000000000036,16.84617060732568,28.92510801086391,23.153829392674357,11.074891989136127
2020-03-03,1,1,38.30495,25.399999999999867,6.7990887299,29.45689096634237,18.600911270099868,4.056890966342504
2020-03-03,1,1,19.658121921182268,20.199999999999108,0.8768188384113298,24.50234364909504,19.323181161587776,4.302343649095931
