event_date,r_squared,duration_hours,impact_predit,impact_real,amp_pred_lr,amp_pred_rf,error_baseline_pips,error_lr_pips,error_rf_pips
2025-10-15,0.5515729821379792,3.65,20.530629789962287,14.899999999999912,1.4397223467496805,2.001893902228162,3.0766373994185496,3.0766373994185496,1.540057034171829
2025-09-11,0.8927443902216928,0.2166666666666666,56.259017639931514,56.80000000000129,1.2449131276981042,0.7346952617222662,28.784964155461306,28.784964155461306,40.266706524318465
2025-08-12,0.60233665353358,7.466666666666667,20.211806652595538,54.3999999999989,1.2313022707657473,0.9647598999637514,44.44526262895125,44.44526262895125,46.600183774300994
2025-07-15,0.8441069422746531,4.8,56.259017639931514,44.599999999999085,1.3021350474897182,0.894683976625034,15.29726455748024,15.29726455748024,24.46638335075434
2025-06-11,0.3864896759888784,5.283333333333333,56.25901763993152,52.799999999999514,1.2761601930202748,1.1620051413594366,24.08179247579709,24.08179247579709,26.65069290182685
2025-05-13,0.0598015981344321,4.75,56.25901763993152,34.399999999998876,1.7153381767914782,1.1497922486399657,4.201296298625024,4.201296298625024,8.525527040601933
2025-04-10,0.8996415626081072,5.583333333333333,56.25901763993152,39.39999999999833,0.9337735110727705,1.2862682352456127,18.386727827540813,18.386727827540813,10.454325065451723
2025-03-12,0.1302960141669354,0.95,19.345761936237484,28.200000000000447,0.726366407370019,1.2675402876836175,22.579155361816255,22.579155361816255,18.391386939953552
2025-02-12,0.6909069818123292,1.9333333333333331,55.38298167568324,51.70000000000119,0.7984341658516323,0.7668945705797842,34.01213408936104,34.01213408936104,34.71083682016073
2025-01-15,0.05014636561412,5.3,56.25901763993152,44.899999999998826,1.6535023644906635,1.1526798977877954,7.690232523379343,7.690232523379343,18.960544518863607
2024-12-11,0.6683891113569511,3.316666666666667,20.673142291323117,22.599999999999287,1.2766657776591464,1.3869283405556854,12.042922687995201,12.042922687995201,11.131133227128755
2024-11-13,0.5414694908389036,5.333333333333333,20.211806652595538,69.20000000000037,1.175889159566763,1.1929177892233767,59.69326226478178,59.69326226478178,59.55559051671053
2024-10-10,0.8794359169963906,39.5,57.13555535351392,20.299999999999763,0.937930901146703,1.0624744421604229,1.1356811680956937,1.1356811680956937,3.982026920700502
2024-09-11,0.7153023520810051,21.616666666666667,57.13555535351392,39.1000000000008,1.0580988027497753,1.0726894604747883,14.917974914402159,14.917974914402159,14.584516781565497
2024-08-14,0.8209465688222735,27.4,20.673142291323117,19.899999999999363,2.198128583228062,1.345429386078088,1.7231100097200773,1.7231100097200773,8.774298743471435
2024-07-11,0.8941514602271251,43.55,57.13555535351392,48.90000000000061,-0.6293648925779902,0.8933758235525205,63.28364506297985,63.28364506297985,28.48259047277016
2024-05-15,0.6627465603031062,28.116666666666667,51.47209225463452,33.199999999999896,1.2461887158076808,0.96562743699926,7.542423781304912,7.542423781304912,13.318854191667022
2024-04-10,0.0134456732415826,22.816666666666663,57.30008111787338,118.00000000000033,1.088100075640831,0.7674327172324655,93.06071096056681,93.06071096056681,100.41041722002822
2024-03-12,0.802598068671176,0.8166666666666667,57.13555535351392,11.900000000000244,1.183920899356466,1.0933758603997845,15.157591231745094,15.157591231745094,13.088254797626874
2024-02-13,0.888324924963271,4.316666666666666,57.13555535351392,91.39999999999928,0.8809507792102614,0.7699643518064664,71.26655519628363,71.26655519628363,73.80306366285095
2024-02-09,0.1295517405478763,4.983333333333333,20.27235248090256,22.500000000000853,1.133174458419429,1.79180397044587,13.311155182627042,13.311155182627042,7.970367333777098
2024-01-11,0.8708475865162881,3.7666666666666666,57.85584248764476,58.19999999999936,0.7209160750541953,1.0022183500013564,41.51631724594072,41.51631724594072,35.00632520163708
