event_date,num_events_raw,num_events_deduplicated,num_duplicates,base_score,max_surprise,adjusted_score,impact_predit
2025-10-15,10,6,4,44.04059729943645,0.0,44.04059729943645,19.968306507920094
2025-09-11,11,7,4,44.04564801153231,33.33333333333335,83.68673122191139,55.80504165245404
2025-08-12,11,7,4,44.04564801153231,3.5714285714285587,44.04564801153231,19.972871922344222
2025-07-15,11,7,4,44.10667007287709,33.33333333333333,83.80267313846646,55.9098432899569
2025-06-11,11,7,4,44.04564801153231,66.66666666666666,83.68673122191139,55.80504165245404
2025-05-13,11,6,5,43.769281299416086,33.33333333333333,83.16163446889055,55.33039882094721
2025-04-10,11,7,4,44.04564801153231,200.0,83.68673122191139,55.80504165245404
2025-03-12,5,5,0,43.35187704179871,3.448275862068969,43.35187704179871,19.345761936237476
2025-02-12,8,5,3,43.35187704179871,66.66666666666667,82.36856637941754,54.61353267885121
2025-01-15,11,7,4,43.92664782332937,33.33333333333335,83.4606308643258,55.60066614772705
2024-12-11,9,5,4,44.36656857240826,0.04756770469970004,44.36656857240826,20.26295683112841
2024-11-13,11,7,4,43.987669884674155,0.04626108998733048,43.987669884674155,19.920464623805234
2024-10-10,9,6,3,44.45061497147506,100.0,84.45616844580262,56.50054750068767
2024-09-11,9,6,3,44.66064092928074,49.999999999999986,84.8552177656334,56.86125416662251
2024-08-14,9,5,4,44.36656857240826,3.333333333333336,44.36656857240826,20.26295683112841
2024-07-11,9,6,3,44.45061497147506,200.0,84.45616844580262,56.50054750068767
2024-05-15,8,6,2,44.5894485243785,25.000000000000007,78.77469239306869,51.36497607448069
2024-04-10,10,6,4,44.647645167053184,33.33333333333335,84.83052581740105,56.83893474423608
2024-03-12,9,6,3,44.66064092928074,33.33333333333335,84.8552177656334,56.86125416662251
2024-02-13,9,6,3,44.45061497147506,49.999999999999986,84.45616844580262,56.50054750068767
2024-02-09,6,3,3,43.6141391381019,0.0,43.6141391381019,19.582824579017373
2024-01-11,7,5,2,45.02362317376618,49.999999999999986,85.54488403015574,57.48465384811822
