event_date,event_hour,impact_reel,predit_OR,predit_OR_JOBLESS,erreur_OR,erreur_OR_JOBLESS,events_OR,events_OR_JOBLESS,meilleur_mode
2025-10-17,14:00,15.100000000001224,29.079149579358113,29.079149579358113,13.97914957935689,13.97914957935689,10,10,OR_JOBLESS
2025-10-15,14:00,9.300000000000974,19.968306507920097,19.968306507920097,10.668306507919123,10.668306507919123,6,6,OR_JOBLESS
2025-10-03,14:00,22.400000000000198,36.20123975639202,36.20123975639202,13.801239756391823,13.801239756391823,9,9,OR_JOBLESS
2025-10-01,16:00,10.099999999999554,66.24954070837707,66.24954070837707,56.149540708377515,56.149540708377515,6,6,OR_JOBLESS
2025-09-17,20:00,17.80000000000115,35.52003627565444,35.52003627565444,17.720036275653293,17.720036275653293,7,7,OR_JOBLESS
2025-09-11,14:00,17.700000000000493,52.11210124481191,46.94198467411291,34.41210124481142,29.241984674112416,8,10,OR_JOBLESS
2025-09-05,14:00,33.799999999999386,86.37125992017253,86.37125992017253,52.57125992017315,52.57125992017315,10,10,OR_JOBLESS
2025-09-02,16:00,10.40000000000152,73.9911990955279,73.9911990955279,63.591199095526385,63.591199095526385,6,6,OR_JOBLESS
2025-08-12,14:00,16.899999999999693,19.972871922344225,19.972871922344225,3.0728719223445324,3.0728719223445324,8,8,OR_JOBLESS
2025-08-01,14:00,33.69999999999873,86.63894053714483,86.63894053714483,52.9389405371461,52.9389405371461,9,9,OR_JOBLESS
2025-08-01,16:00,23.299999999999432,141.6209469341914,141.6209469341914,118.32094693419198,118.32094693419198,5,5,OR_JOBLESS
2025-07-15,14:00,23.599999999999177,55.9098432899569,55.9098432899569,32.309843289957726,32.309843289957726,8,8,OR_JOBLESS
2025-07-03,14:00,34.70000000000084,76.38711163665789,69.2263126016092,41.68711163665705,34.52631260160835,12,14,OR_JOBLESS
2025-07-01,16:00,11.700000000001154,141.6209469341914,141.6209469341914,129.92094693419025,129.92094693419025,6,6,OR_JOBLESS
2025-06-18,20:00,11.499999999999844,36.18797572826146,36.18797572826146,24.68797572826162,24.68797572826162,6,6,OR_JOBLESS
2025-06-11,14:00,15.800000000001369,55.80504165245404,55.80504165245404,40.00504165245267,40.00504165245267,7,7,OR_JOBLESS
2025-06-06,14:00,33.69999999999873,86.5255695394649,86.5255695394649,52.825569539466166,52.825569539466166,10,10,OR_JOBLESS
2025-06-02,16:00,15.600000000000058,141.6209469341914,141.6209469341914,126.02094693419136,126.02094693419136,5,5,OR_JOBLESS
2025-05-13,14:00,31.09999999999946,55.33039882094721,55.33039882094721,24.230398820947748,24.230398820947748,7,7,OR_JOBLESS
2025-05-02,14:00,16.499999999999293,82.12685837931582,82.12685837931582,65.62685837931653,65.62685837931653,11,11,OR_JOBLESS
2025-05-01,16:00,18.799999999998818,141.6209469341914,141.6209469341914,122.82094693419259,122.82094693419259,5,5,OR_JOBLESS
2025-04-10,14:00,58.30000000000002,52.11210124481191,46.94198467411291,6.187898755188108,11.35801532588711,8,10,OR
2025-04-04,14:00,46.69999999999952,85.2643505706193,85.2643505706193,38.56435057061978,38.56435057061978,9,9,OR_JOBLESS
2025-04-01,16:00,8.699999999999264,141.6209469341914,141.6209469341914,132.92094693419216,132.92094693419216,7,7,OR_JOBLESS
2025-03-19,19:00,8.60000000000083,36.18797572826146,36.18797572826146,27.587975728260634,27.587975728260634,6,6,OR_JOBLESS
2025-03-12,13:00,28.999999999999027,19.345761936237476,19.345761936237476,9.65423806376155,9.65423806376155,5,5,OR_JOBLESS
2025-03-07,14:00,38.000000000000256,85.42712759601903,85.42712759601903,47.42712759601878,47.42712759601878,8,8,OR_JOBLESS
2025-03-03,16:00,9.200000000000319,141.6209469341914,141.6209469341914,132.42094693419108,132.42094693419108,5,5,OR_JOBLESS
2025-02-12,14:00,41.199999999999015,54.61353267885121,54.61353267885121,13.413532678852192,13.413532678852192,5,5,OR_JOBLESS
2025-02-07,14:00,51.40000000000144,85.42712759601903,85.42712759601903,34.02712759601759,34.02712759601759,9,9,OR_JOBLESS
