event_date,num_events,avg_score,min_score,max_score,families
2025-10-15,10,44.66269482192716,42.012728389432944,46.131002713643156,"CPI, Real_Earnings"
2025-09-11,11,44.30998119579335,40.7828449344552,46.131002713643156,"CPI, Real_Earnings"
2025-08-12,11,44.30998119579335,40.7828449344552,46.131002713643156,"Real_Earnings, CPI"
2025-07-15,11,44.30998119579335,40.7828449344552,46.131002713643156,"Real_Earnings, CPI"
2025-06-11,11,44.30998119579335,40.7828449344552,46.131002713643156,"Real_Earnings, CPI"
2025-05-13,11,44.30998119579335,40.7828449344552,46.131002713643156,"Real_Earnings, CPI"
2025-04-10,11,44.30998119579335,40.7828449344552,46.131002713643156,"Real_Earnings, CPI"
2025-03-12,5,43.35187704179871,40.7828449344552,45.13412286023265,"CPI, Real_Earnings"
2025-02-12,8,43.79989832281228,40.7828449344552,45.70384828422969,"Real_Earnings, CPI"
2025-01-15,11,44.309981195793334,40.7828449344552,46.131002713643156,"Real_Earnings, CPI"
2024-12-11,9,44.82035621858594,42.012728389432944,46.131002713643156,CPI
2024-11-13,11,44.30998119579334,40.7828449344552,46.131002713643156,"CPI, Real_Earnings"
2024-10-10,9,44.82035621858594,42.012728389432944,46.131002713643156,CPI
2024-09-11,9,44.82035621858594,42.012728389432944,46.131002713643156,CPI
2024-08-14,9,44.82035621858594,42.012728389432944,46.131002713643156,CPI
2024-07-11,9,44.82035621858594,42.012728389432944,46.131002713643156,CPI
2024-05-15,8,44.6565254067038,42.012728389432944,45.85630258750297,CPI
2024-04-10,10,44.91615339814111,42.012728389432944,46.131002713643156,"FOMC, CPI"
2024-03-12,9,44.82035621858594,42.012728389432944,46.131002713643156,CPI
2024-02-13,9,44.82035621858594,42.012728389432944,46.131002713643156,CPI
2024-02-09,6,44.37696296764913,42.012728389432944,45.70384828422969,CPI
2024-01-11,7,45.23975239150908,44.414844512436375,46.131002713643156,CPI
