event_date,r_squared,duration_hours,max_surprise,impact_predit,impact_real,erreur_baseline_pips,error_baseline_2.5_pips,error_mean_train_pips,error_surprise_pips,error_r²_pips,error_durée_pips,error_r²_+_durée_pips
2025-10-15,0.5515729821379792,3.65,0.0,20.530629789962287,14.899999999999912,5.630629789962375,5.630629789962375,8.501650381241445,21.845086964347075,29.879948420793397,5.265266725881547,7.035647525285588
2025-09-11,0.8927443902216928,0.2166666666666666,33.33333333333335,56.259017639931514,56.80000000000129,0.5409823600697763,0.5409823600697763,6.5658354414962545,8.839807701335225,2.5821943898436714,3.1391982227255752,6.072771792836001
2025-08-12,0.60233665353358,7.466666666666667,3.5714285714285587,20.211806652595538,54.3999999999989,34.188193347403356,34.188193347403356,33.253727932072366,24.847430215812935,37.53643677567426,24.786246541815625,35.64295035607953
2025-07-15,0.8441069422746531,4.8,33.33333333333333,56.259017639931514,44.599999999999085,11.65901763993243,11.65901763993243,19.346787822450956,5.3935256320006815,10.556267148620243,10.28080177727685,9.177228207166763
2025-06-11,0.3864896759888784,5.283333333333333,66.66666666666666,56.25901763993152,52.799999999999514,3.459017639932007,3.459017639932007,10.75631163197432,3.4931737014583675,63.92301276674738,54.284314998599044,139.8163300292282
2025-05-13,0.0598015981344321,4.75,33.33333333333333,56.25901763993152,34.399999999998876,21.859017639932645,21.859017639932645,30.032502108165453,17.29352563200092,41.90126145147797,21.50080177727709,26.16837867239837
2025-04-10,0.8996415626081072,5.583333333333333,200.0,56.25901763993152,39.39999999999833,16.859017639933192,16.859017639933192,24.7944068700708,11.8211120128287,16.15626714862107,71.03431499860052,20.811235815256097
2025-03-12,0.1302960141669354,0.95,3.448275862068969,19.345761936237484,28.200000000000447,8.854238063762963,8.854238063762963,6.823191907563672,4.064461781129463,6.055043155238252,10.614506401871708,8.541729267934855
2025-02-12,0.6909069818123292,1.9333333333333331,66.66666666666667,55.38298167568324,51.70000000000119,3.6829816756820506,3.6829816756820506,10.879875838474035,3.1212643471407375,1.9978266494060861,1.5467778841284883,6.651263966952399
2025-01-15,0.05014636561412,5.3,33.33333333333335,56.25901763993152,44.899999999998826,11.359017639932695,11.359017639932695,19.032502108165517,5.043525632000993,28.77626145147805,64.1593149985999,14.918378672398426
2024-12-11,0.6683891113569511,3.316666666666667,0.0475677046997,20.673142291323117,22.599999999999287,1.9268577086761702,1.9268577086761702,0.6023504139814442,13.134056057109053,2.8098570532243947,3.054414152867512,1.0546994075337963
2024-11-13,0.5414694908389036,5.333333333333333,0.0462610899873304,20.211806652595538,69.20000000000037,48.98819334740483,48.98819334740483,48.75848983683582,42.11409688248132,52.381138048077446,43.28624654181747,50.23089182809427
2024-10-10,0.8794359169963906,39.5,100.0,57.13555535351392,20.299999999999763,36.83555535351416,36.83555535351416,45.833336679953256,34.53542396144336,37.63830708281352,39.20259054137117,42.257484046063674
2024-09-11,0.7153023520810051,21.616666666666667,49.999999999999986,57.13555535351392,39.1000000000008,18.035555353513125,18.035555353513125,26.138098584714093,13.049709675727875,17.392153236658572,16.642590541369934,22.114626903205426
2024-08-14,0.8209465688222735,27.4,3.333333333333336,20.673142291323117,19.899999999999363,0.7731422913237544,0.7731422913237544,3.430921842552795,16.284056057108973,0.09783525446783514,0.8813878304571716,1.8381577353232643
2024-07-11,0.8941514602271251,43.55,200.0,57.13555535351392,48.90000000000061,8.235555353513313,8.235555353513313,15.871431918047598,1.8497096757281,6.838307082812605,4.882590541370156,11.614626903205625
2024-05-15,0.6627465603031062,28.116666666666667,25.000000000000007,51.47209225463452,33.199999999999896,18.27209225463462,18.27209225463462,25.66787919465751,13.807231833938353,17.848180115896405,17.422058696131927,22.091424330261248
2024-04-10,0.0134456732415826,22.816666666666663,33.33333333333335,57.30008111787338,118.00000000000033,60.699918882126944,60.699918882126944,56.32582519420598,79.17713351984801,61.02765525848092,77.85437660406492,62.23677342647437
2024-03-12,0.802598068671176,0.8166666666666667,33.33333333333335,57.13555535351392,11.900000000000244,45.235555353513675,45.235555353513675,54.63333667995276,44.43825877465491,46.68446092896686,47.17535490482754,51.06382006477992
2024-02-13,0.888324924963271,4.316666666666666,49.999999999999986,57.13555535351392,91.39999999999928,34.26444464648536,34.26444464648536,28.65237760576052,46.721718895698956,38.930923686416726,40.27464509517138,48.31117993521886
2024-02-09,0.1295517405478763,4.983333333333333,0.0,20.27235248090256,22.500000000000853,2.2276475190982943,2.2276475190982907,0.23642471530255094,12.484922975054438,2.468287448302359,3.3671586246397034,1.3965510029290975
2024-01-11,0.8708475865162881,3.7666666666666666,49.999999999999986,57.85584248764476,58.19999999999936,0.3441575123546059,0.3441575123546059,6.974480075519509,8.051012293679186,2.426984653220835,2.9949017181587507,5.979913249552482
