event_date,num_events,base_score,max_surprise,adjusted_score,impact_predit
2025-10-15,10,44.66269482192716,0.0,44.66269482192716,20.530629789962287
2025-09-11,11,44.30998119579334,33.33333333333335,84.18896427200734,56.259017639931514
2025-08-12,11,44.30998119579335,3.5714285714285587,44.30998119579335,20.211806652595538
2025-07-15,11,44.30998119579334,33.33333333333333,84.18896427200734,56.259017639931514
2025-06-11,11,44.30998119579335,66.66666666666666,84.18896427200735,56.25901763993152
2025-05-13,11,44.30998119579335,33.33333333333333,84.18896427200735,56.25901763993152
2025-04-10,11,44.30998119579335,200.0,84.18896427200735,56.25901763993152
2025-03-12,5,43.351877041798716,3.448275862068969,43.351877041798716,19.345761936237484
2025-02-12,8,43.79989832281228,66.66666666666667,83.21980681334334,55.38298167568324
2025-01-15,11,44.30998119579335,33.33333333333335,84.18896427200735,56.25901763993152
2024-12-11,9,44.82035621858595,0.04756770469970004,44.82035621858595,20.673142291323117
2024-11-13,11,44.30998119579335,0.04626108998733048,44.30998119579335,20.211806652595538
2024-10-10,9,44.82035621858595,100.0,85.1586768153133,57.13555535351392
2024-09-11,9,44.82035621858595,49.999999999999986,85.1586768153133,57.13555535351392
2024-08-14,9,44.82035621858595,3.333333333333336,44.82035621858595,20.673142291323117
2024-07-11,9,44.82035621858595,200.0,85.1586768153133,57.13555535351392
2024-05-15,8,44.6565254067038,25.000000000000007,78.89319488517673,51.47209225463452
2024-04-10,10,44.91615339814112,33.33333333333335,85.34069145646812,57.30008111787338
2024-03-12,9,44.82035621858595,33.33333333333335,85.1586768153133,57.13555535351392
2024-02-13,9,44.82035621858595,49.999999999999986,85.1586768153133,57.13555535351392
2024-02-09,6,44.37696296764913,0.0,44.37696296764913,20.27235248090256
2024-01-11,7,45.23975239150908,49.999999999999986,85.95552954386724,57.85584248764476
