event_date,r_squared,duration_hours,amp_parfaite,pred_lr,pred_rf,pred_baseline,error_lr,error_rf,error_baseline
2025-10-15,0.5515729821379792,3.65,0.7257449066313948,1.4397223467496805,2.001893902228162,1.0,0.7139774401182857,1.276148995596767,0.2742550933686052
2025-09-11,0.8927443902216928,0.2166666666666666,1.009615922615858,1.2449131276981042,0.7346952617222662,1.0,0.23529720508224616,0.2749206608935919,0.009615922615858086
2025-08-12,0.60233665353358,7.466666666666667,2.6914961603896512,1.2313022707657473,0.9647598999637514,1.0,1.460193889623904,1.7267362604258998,1.6914961603896512
2025-07-15,0.8441069422746531,4.8,0.7927617983919951,1.3021350474897182,0.894683976625034,1.0,0.5093732490977231,0.10192217823303884,0.20723820160800488
2025-06-11,0.3864896759888784,5.283333333333333,0.9385162097555564,1.2761601930202748,1.1620051413594366,1.0,0.33764398326471845,0.22348893160388017,0.061483790244443615
2025-05-13,0.0598015981344321,4.75,0.6114575305983027,1.7153381767914782,1.1497922486399657,1.0,1.1038806461931756,0.538334718041663,0.38854246940169734
2025-04-10,0.8996415626081072,5.583333333333333,0.7003321716736305,0.9337735110727705,1.2862682352456127,1.0,0.23344133939914002,0.5859360635719822,0.2996678283263695
2025-03-12,0.1302960141669354,0.95,1.4576836049645407,0.726366407370019,1.2675402876836175,1.0,0.7313171975945217,0.19014331728092326,0.45768360496454075
2025-02-12,0.6909069818123292,1.9333333333333331,0.933499758152257,0.7984341658516323,0.7668945705797842,1.0,0.13506559230062476,0.1666051875724729,0.06650024184774295
2025-01-15,0.05014636561412,5.3,0.7980942768565107,1.6535023644906635,1.1526798977877954,1.0,0.8554080876341528,0.35458562093128476,0.2019057231434893
2024-12-11,0.6683891113569511,3.316666666666667,1.0932058456098812,1.2766657776591464,1.3869283405556854,1.0,0.18345993204926514,0.29372249494580416,0.09320584560988121
2024-11-13,0.5414694908389036,5.333333333333333,3.423741439319276,1.175889159566763,1.1929177892233767,1.0,2.247852279752513,2.2308236500959,2.423741439319276
2024-10-10,0.8794359169963906,39.5,0.355295400112905,0.937930901146703,1.0624744421604229,1.0,0.582635501033798,0.7071790420475179,0.644704599887095
2024-09-11,0.7153023520810051,21.616666666666667,0.6843374455376865,1.0580988027497753,1.0726894604747883,1.0,0.3737613572120888,0.3883520149371018,0.3156625544623135
2024-08-14,0.8209465688222735,27.4,0.96260160741755,2.198128583228062,1.345429386078088,1.0,1.235526975810512,0.38282777866053797,0.037398392582450035
2024-07-11,0.8941514602271251,43.55,0.8558593628335702,-0.6293648925779902,0.8933758235525205,1.0,1.4852242554115604,0.03751646071895032,0.14414063716642977
2024-05-15,0.6627465603031062,28.116666666666667,0.6450097236335014,1.2461887158076808,0.96562743699926,1.0,0.6011789921741794,0.3206177133657586,0.3549902763664986
2024-04-10,0.0134456732415826,22.816666666666663,2.059333908398134,1.088100075640831,0.7674327172324655,1.0,0.9712338327573031,1.2919011911656686,1.0593339083981341
2024-03-12,0.802598068671176,0.8166666666666667,0.2082766138592958,1.183920899356466,1.0933758603997845,1.0,0.9756442854971703,0.8850992465404888,0.7917233861407043
2024-02-13,0.888324924963271,4.316666666666666,1.599704412331017,0.8809507792102614,0.7699643518064664,1.0,0.7187536331207555,0.8297400605245505,0.5997044123310169
2024-02-09,0.1295517405478763,4.983333333333333,1.1098859898572124,1.133174458419429,1.79180397044587,1.0,0.023288468562216558,0.6819179805886575,0.10988598985721243
2024-01-11,0.8708475865162881,3.7666666666666666,1.005948535144538,0.7209160750541953,1.0022183500013564,1.0,0.2850324600903428,0.0037301851431816857,0.005948535144538081
