event_date,r_squared,slope,amplitude_pips,duration_hours,p_value,reversal_type,trend_direction,extrema_count,reversal_time
2025-10-15,0.5515729821379792,-5.7556222987326325e-06,25.699999999999612,3.65,7.838353219851597e-40,peak,down,35,2025-10-15 08:50:00
2025-09-11,0.8927443902216928,0.00015318681318681,22.799999999998377,0.21666666666666667,3.6041887037064523e-07,trough,up,53,2025-09-11 12:16:00
2025-08-12,0.60233665353358,-3.595879732739406e-06,29.50000000000008,7.466666666666667,1.505621518840929e-91,peak,down,68,2025-08-12 05:01:00
2025-07-15,0.8441069422746531,-8.095712524360675e-06,26.700000000001722,4.8,7.582060758698582e-118,peak,down,40,2025-07-15 07:41:00
2025-06-11,0.3864896759888784,5.989322922448846e-06,39.49999999999898,5.283333333333333,2.1473290464021186e-35,trough,up,58,2025-06-11 07:12:00
2025-05-13,0.05980159813443213,-1.2650430442471867e-06,24.699999999999722,4.75,2.9003593757636343e-05,peak,down,72,2025-05-13 07:44:00
2025-04-10,0.8996415626081072,3.184578748900689e-05,139.49999999999906,5.583333333333333,8.357235973708679e-169,trough,up,159,2025-04-10 06:54:00
2025-03-12,0.13029601416693545,-1.7345965732567057e-05,39.29999999999989,0.95,0.005374057611075531,peak,down,82,2025-03-12 11:32:00
2025-02-12,0.6909069818123292,-1.06242413343522e-05,21.200000000001218,1.9333333333333333,4.2601083102575395e-31,peak,down,68,2025-02-12 10:33:00
2025-01-15,0.05014636561412006,-1.0681374578577035e-06,20.999999999999908,5.3,5.4544698032508814e-05,peak,down,54,2025-01-15 07:11:00
2024-12-11,0.6683891113569511,9.116440411010216e-06,29.399999999999427,3.316666666666667,2.4083692676731985e-49,trough,up,62,2024-12-11 09:10:00
2024-11-13,0.5414694908389036,7.796641899344069e-06,46.500000000000426,5.333333333333333,5.888612208140044e-56,trough,up,57,2024-11-13 07:09:00
2024-10-10,0.8794359169963906,-2.0705575648065235e-06,52.60000000000042,39.5,0.0,peak,down,35,2024-10-08 20:59:00
2024-09-11,0.7153023520810051,2.500715409346095e-06,39.29999999999989,21.616666666666667,0.0,trough,up,34,2024-09-10 14:52:00
2024-08-14,0.8209465688222735,5.69245512753927e-06,113.30000000000062,27.4,0.0,trough,up,27,2024-08-13 09:05:00
2024-07-11,0.8941514602271251,1.4175271667520715e-06,51.79999999999963,43.55,0.0,trough,up,23,2024-07-09 16:56:00
2024-05-15,0.6627465603031062,2.0233763107679715e-06,59.499999999999,28.116666666666667,0.0,trough,up,18,2024-05-14 08:22:00
2024-04-10,0.013445673241582638,-1.6549248910432175e-07,36.89999999999971,22.816666666666666,1.8389075450553235e-05,peak,down,14,2024-04-09 13:40:00
2024-03-12,0.802598068671176,-5.5948139255702415e-05,29.700000000001392,0.8166666666666667,1.5600205852315544e-18,peak,down,24,2024-03-12 11:40:00
2024-02-13,0.888324924963271,1.1049452256348825e-05,35.29999999999811,4.316666666666666,8.082958543007038e-125,trough,up,24,2024-02-13 08:10:00
2024-02-09,0.12955174054787638,-1.6350137223746872e-06,21.900000000001363,4.983333333333333,1.3204127827774504e-10,peak,down,25,2024-02-09 07:30:00
2024-01-11,0.8708475865162881,1.2515332325199011e-05,30.90000000000037,3.7666666666666666,5.67735569158157e-102,trough,up,52,2024-01-11 08:43:00
