event_date,r_squared,duration_hours,amplitude_pips,impact_predit,impact_real,impact_dynamic,erreur_baseline,erreur_dynamic,gain_dynamic,amp_parfaite,amp_dynamic
2025-10-15,0.5515729821379792,3.65,25.699999999999612,20.530629789962287,14.899999999999912,18.631980579347204,5.630629789962375,3.731980579347292,1.8986492106150834,0.7257449066313948,2.2688028533416738
2025-09-11,0.8927443902216928,0.2166666666666666,22.799999999998377,56.259017639931514,56.80000000000129,38.794763044675676,0.5409823600697763,18.005236955325614,-17.464254595255838,1.009615922615858,1.723935320599161
2025-08-12,0.60233665353358,7.466666666666667,29.50000000000008,20.211806652595538,54.3999999999989,18.49016883613118,34.188193347403356,35.90983116386772,-1.7216378164643658,2.6914961603896512,2.287050479200573
2025-07-15,0.8441069422746531,4.8,26.70000000000172,56.259017639931514,44.599999999999085,42.32208209968964,11.65901763993243,2.277917900309447,9.381099739622982,0.7927617983919951,1.8806799280854434
2025-06-11,0.3864896759888784,5.283333333333333,39.49999999999898,56.25901763993152,52.799999999999514,49.95460293018135,3.459017639932007,2.845397069818162,0.6136205701138451,0.9385162097555564,2.2198487027404377
2025-05-13,0.0598015981344321,4.75,24.69999999999972,56.25901763993152,34.399999999998876,39.2264430046125,21.859017639932645,4.826443004613623,17.032574635319023,0.6114575305983027,1.7431180213485615
2025-04-10,0.8996415626081072,5.583333333333333,139.49999999999906,56.25901763993152,39.39999999999833,40.87999053417408,16.859017639933192,1.479990534175748,15.379027105757444,0.7003321716736305,1.8165972429439596
2025-03-12,0.1302960141669354,0.95,39.29999999999989,19.345761936237484,28.200000000000447,13.69201205054173,8.854238063762963,14.507987949458716,-5.653749885695753,1.4576836049645407,1.7693813373272416
2025-02-12,0.6909069818123292,1.9333333333333331,21.200000000001214,55.38298167568324,51.70000000000119,45.08335552573431,3.6829816756820506,6.616644474266877,-2.9336627985848267,0.933499758152257,2.0350726054141313
2025-01-15,0.05014636561412,5.3,20.999999999999908,56.25901763993152,44.899999999998826,39.14354440364815,11.359017639932695,5.756455596350676,5.602562043582019,0.7980942768565107,1.7394342296453844
2024-12-11,0.6683891113569511,3.316666666666667,29.399999999999427,20.673142291323117,22.599999999999287,17.342401441466276,1.9268577086761702,5.257598558533012,-3.3307408498568414,1.0932058456098812,2.0972140080447743
2024-11-13,0.5414694908389036,5.333333333333333,46.500000000000426,20.211806652595538,69.20000000000037,18.789153863580136,48.98819334740483,50.41084613642023,-1.4226527890154017,3.423741439319276,2.3240319614337013
2024-10-10,0.8794359169963906,39.5,52.60000000000042,57.13555535351392,20.299999999999763,35.30238900025502,36.83555535351416,15.002389000255256,21.833166353258903,0.355295400112905,1.5446768996043314
2024-09-11,0.7153023520810051,21.616666666666667,39.29999999999989,57.13555535351392,39.1000000000008,43.97486560292589,18.035555353513125,4.874865602925091,13.160689750588034,0.6843374455376865,1.9241462400619411
2024-08-14,0.8209465688222735,27.4,113.30000000000062,20.673142291323117,19.899999999999363,13.787722376020273,0.7731422913237544,6.1122776239790895,-5.339135332655335,0.96260160741755,1.6673472012292034
2024-07-11,0.8941514602271251,43.55,51.79999999999963,57.13555535351392,48.90000000000061,34.89881424754302,8.235555353513313,14.001185752457587,-5.765630398944275,0.8558593628335702,1.52701824772745
2024-05-15,0.6627465603031062,28.116666666666667,59.499999999999,51.47209225463452,33.199999999999896,38.03149097338487,18.27209225463462,4.831490973384973,13.440601281249648,0.6450097236335014,1.8471898706410432
2024-04-10,0.0134456732415826,22.816666666666663,36.89999999999971,57.30008111787338,118.00000000000033,35.372300710267275,60.699918882126944,82.62769928973304,-21.9277804076061,2.059333908398134,1.5432919125150129
2024-03-12,0.802598068671176,0.8166666666666667,29.700000000001392,57.13555535351392,11.900000000000244,42.46777152159633,45.235555353513675,30.56777152159609,14.667783831917586,0.2082766138592958,1.8582024476193573
2024-02-13,0.888324924963271,4.316666666666666,35.29999999999811,57.13555535351392,91.39999999999928,41.332637308057414,34.26444464648536,50.06736269194187,-15.802918045456508,1.599704412331017,1.8085339790748791
2024-02-09,0.1295517405478763,4.983333333333333,21.900000000001363,20.27235248090256,22.500000000000853,14.975488233029434,2.2276475190982943,7.524511766971418,-5.296864247873124,1.1098859898572124,1.84678717567892
2024-01-11,0.8708475865162881,3.7666666666666666,30.90000000000037,57.85584248764476,58.19999999999936,42.17851840439594,0.3441575123546059,16.021481595603426,-15.67732408324882,1.005948535144538,1.8225695362315073
