event_date,event_hour,num_events_raw,num_events_dedup,num_duplicates,base_score,max_surprise,adjusted_score,impact_predit,filter_mode
2025-10-17,14:00,12,10,2,54.11991125200723,0.0,54.11991125200723,29.079149579358113,OR_JOBLESS
2025-10-15,14:00,10,6,4,44.04059729943645,0.0,44.04059729943645,19.968306507920094,OR_JOBLESS
2025-10-03,14:00,9,9,0,61.99907043957897,0.0,61.99907043957897,36.20123975639202,OR_JOBLESS
2025-10-01,16:00,6,6,0,95.0108581928802,5.0485436893203905,95.24146707198915,66.24954070837707,OR_JOBLESS
2025-09-17,20:00,13,7,6,61.2454559064231,0.0,61.2454559064231,35.52003627565444,OR_JOBLESS
2025-09-11,14:00,15,10,5,38.88502247627086,33.33333333333335,73.88154270491464,46.94198467411291,OR_JOBLESS
2025-09-05,14:00,12,10,2,61.84321005973287,140.0,117.50209911349245,86.37125992017253,OR_JOBLESS
2025-09-02,16:00,8,6,2,94.01302983145622,7.08333333333333,103.8060537722329,73.9911990955279,OR_JOBLESS
2025-08-12,14:00,12,8,4,44.04564801153231,3.5714285714285587,44.04564801153231,19.972871922344222,OR_JOBLESS
2025-08-01,14:00,9,9,0,61.99907043957897,300.0,117.79823383520004,86.63894053714483,OR_JOBLESS
2025-08-01,16:00,6,5,1,94.01302983145622,500.0,178.62475667976682,141.6209469341914,OR_JOBLESS
2025-07-15,14:00,12,8,4,44.10667007287709,33.33333333333333,83.80267313846646,55.9098432899569,OR_JOBLESS
2025-07-03,14:00,17,14,3,51.86035051712722,40.0,98.53466598254172,69.2263126016092,OR_JOBLESS
2025-07-01,16:00,8,6,2,94.01302983145622,49.999999999999986,178.62475667976682,141.6209469341914,OR_JOBLESS
2025-06-18,20:00,11,6,5,61.98439646234598,0.0,61.98439646234598,36.18797572826146,OR_JOBLESS
2025-06-11,14:00,11,7,4,44.04564801153231,66.66666666666666,83.68673122191139,55.80504165245404,OR_JOBLESS
2025-06-06,14:00,12,10,2,61.93305876132678,700.0,117.67281164652087,86.5255695394649,OR_JOBLESS
2025-06-02,16:00,6,5,1,94.01302983145622,233.33333333333334,178.62475667976682,141.6209469341914,OR_JOBLESS
2025-05-13,14:00,12,7,5,43.769281299416086,33.33333333333333,83.16163446889055,55.33039882094721,OR_JOBLESS
2025-05-02,14:00,13,11,2,59.37185429307415,433.3333333333333,112.80652315684088,82.12685837931582,OR_JOBLESS
2025-05-01,16:00,6,5,1,94.01302983145622,266.6666666666667,178.62475667976682,141.6209469341914,OR_JOBLESS
2025-04-10,14:00,15,10,5,38.88502247627086,200.0,73.88154270491464,46.94198467411291,OR_JOBLESS
2025-04-04,14:00,10,9,1,61.19869827689278,480.0,116.27752672609627,85.2643505706193,OR_JOBLESS
2025-04-01,16:00,8,7,1,94.01302983145622,133.33333333333331,178.62475667976682,141.6209469341914,OR_JOBLESS
2025-03-19,19:00,11,6,5,61.98439646234598,0.0,61.98439646234598,36.18797572826146,OR_JOBLESS
2025-03-12,13:00,5,5,0,43.35187704179871,3.448275862068969,43.35187704179871,19.345761936237476,OR_JOBLESS
2025-03-07,14:00,8,8,0,61.29347723136463,155.0,116.4576067395928,85.42712759601903,OR_JOBLESS
2025-03-03,16:00,6,5,1,94.01302983145622,166.66666666666669,178.62475667976682,141.6209469341914,OR_JOBLESS
2025-02-12,14:00,8,5,3,43.35187704179871,66.66666666666667,82.36856637941754,54.61353267885121,OR_JOBLESS
2025-02-07,14:00,9,9,0,61.29347723136464,250.0,116.4576067395928,85.42712759601903,OR_JOBLESS
