event_date,num_events,base_score,max_surprise,adjusted_score,impact_predit,price_start,impact_real,direction,peak_time,ttr_minutes,amp_parfaite,erreur_pips,erreur_pct
2025-10-15,10,44.66269482192716,0.0,44.66269482192716,20.530629789962287,1.16264,14.899999999999913,DOWN,2025-10-15 13:03:00+02:00,33.0,0.7257449066313948,5.630629789962374,37.789461677600045
2025-09-11,11,44.30998119579334,33.33333333333335,84.18896427200734,56.259017639931514,1.16874,56.80000000000129,UP,2025-09-11 14:19:00+02:00,109.0,1.009615922615858,0.5409823600697763,0.9524337325171901
2025-08-12,11,44.30998119579335,3.5714285714285587,44.30998119579335,20.211806652595538,1.16056,54.3999999999989,UP,2025-08-12 14:05:00+02:00,95.0,2.6914961603896512,34.188193347403356,62.84594365331627
2025-07-15,11,44.30998119579334,33.33333333333333,84.18896427200734,56.259017639931514,1.16668,44.599999999999085,DOWN,2025-07-15 14:29:00+02:00,119.0,0.7927617983919951,11.65901763993243,26.141295156799703
2025-06-11,11,44.30998119579335,66.66666666666666,84.18896427200735,56.25901763993152,1.14358,52.799999999999514,UP,2025-06-11 12:36:00+02:00,6.0,0.9385162097555563,3.459017639932007,6.551169772598558
2025-05-13,11,44.30998119579335,33.33333333333333,84.18896427200735,56.25901763993152,1.11141,34.399999999998876,UP,2025-05-13 13:37:00+02:00,67.0,0.6114575305983027,21.859017639932645,63.54365593003883
2025-04-10,11,44.30998119579335,200.0,84.18896427200735,56.25901763993152,1.11037,39.39999999999833,UP,2025-04-10 14:23:00+02:00,113.0,0.7003321716736305,16.859017639933192,42.7893848729287
2025-03-12,5,43.351877041798716,3.448275862068969,43.351877041798716,19.345761936237484,1.0892,28.200000000000447,UP,2025-03-12 14:26:00+01:00,116.0,1.4576836049645407,8.854238063762963,31.398007318307886
2025-02-12,8,43.79989832281228,66.66666666666667,83.21980681334334,55.38298167568324,1.03696,51.70000000000119,DOWN,2025-02-12 12:40:00+01:00,10.0,0.933499758152257,3.6829816756820506,7.123755658959315
2025-01-15,11,44.30998119579335,33.33333333333335,84.18896427200735,56.25901763993152,1.03048,44.899999999998826,UP,2025-01-15 12:32:00+01:00,2.0,0.7980942768565107,11.359017639932695,25.29848026711134
2024-12-11,9,44.82035621858595,0.04756770469970004,44.82035621858595,20.673142291323117,1.05159,22.599999999999287,DOWN,2024-12-11 14:02:00+01:00,92.0,1.0932058456098812,1.9268577086761702,8.525919064939075
2024-11-13,11,44.30998119579335,0.04626108998733048,44.30998119579335,20.211806652595538,1.06277,69.20000000000037,DOWN,2024-11-13 14:07:00+01:00,97.0,3.423741439319276,48.98819334740483,70.7921869182147
2024-10-10,9,44.82035621858595,100.0,85.1586768153133,57.13555535351392,1.09329,20.299999999999763,UP,2024-10-10 12:32:00+02:00,2.0,0.35529540011290506,36.83555535351416,181.45593770204232
2024-09-11,9,44.82035621858595,49.999999999999986,85.1586768153133,57.13555535351392,1.10444,39.100000000000804,DOWN,2024-09-11 14:26:00+02:00,116.0,0.6843374455376865,18.035555353513118,46.126740034559454
2024-08-14,9,44.82035621858595,3.333333333333336,44.82035621858595,20.673142291323117,1.10255,19.899999999999363,DOWN,2024-08-14 12:32:00+02:00,2.0,0.9626016074175499,0.7731422913237544,3.885137142330549
2024-07-11,9,44.82035621858595,200.0,85.1586768153133,57.13555535351392,1.08487,48.90000000000061,UP,2024-07-11 13:11:00+02:00,41.0,0.8558593628335702,8.235555353513313,16.841626489802064
2024-05-15,8,44.6565254067038,25.000000000000007,78.89319488517673,51.47209225463452,1.08318,33.199999999999896,UP,2024-05-15 13:14:00+02:00,44.0,0.6450097236335014,18.27209225463462,55.03642245371891
2024-04-10,10,44.91615339814112,33.33333333333335,85.34069145646812,57.30008111787338,1.08643,118.00000000000033,DOWN,2024-04-10 14:04:00+02:00,94.0,2.059333908398134,60.699918882126944,51.44060922214133
2024-03-12,9,44.82035621858595,33.33333333333335,85.1586768153133,57.13555535351392,1.09152,11.900000000000244,DOWN,2024-03-12 12:39:00+01:00,9.0,0.20827661385929586,45.235555353513675,380.13071725640964
2024-02-13,9,44.82035621858595,49.999999999999986,85.1586768153133,57.13555535351392,1.07933,91.39999999999927,DOWN,2024-02-13 13:05:00+01:00,35.0,1.5997044123310167,34.264444646485344,37.48845147317901
2024-02-09,6,44.37696296764913,0.0,44.37696296764913,20.27235248090256,1.0772,22.500000000000853,UP,2024-02-09 13:14:00+01:00,44.0,1.1098859898572124,2.2276475190982943,9.900655640436488
2024-01-11,7,45.23975239150908,49.999999999999986,85.95552954386724,57.85584248764476,1.09892,58.19999999999936,DOWN,2024-01-11 14:14:00+01:00,104.0,1.0059485351445379,0.3441575123546059,0.5913359318807726
