event_date,r_squared,slope,amplitude_pips,duration_hours,p_value
2025-10-15,0.775236748868127,-1.3387403466628713e-06,218.50000000000148,335.98333333333335,0.0
2025-09-11,0.17520005286085902,3.692626068122769e-07,169.99999999999903,335.98333333333335,0.0
2025-08-12,0.5725404583217257,1.4651563741875008e-06,305.5999999999992,335.98333333333335,0.0
2025-07-15,0.8595113275534436,-9.59718630844152e-07,156.00000000000057,335.98333333333335,0.0
2025-06-11,0.5033320316856867,8.334852434639678e-07,282.3999999999982,335.98333333333335,0.0
2025-05-13,0.6065940869769024,-1.5396766097760895e-06,350.89999999999844,335.98333333333335,0.0
2025-04-10,0.6001998440257525,1.8604231484174406e-06,365.1000000000004,334.98333333333335,0.0
2025-03-12,0.8717987457950112,4.329108892888347e-06,586.7999999999985,335.98333333333335,0.0
2025-02-12,0.0718636206968654,-3.237104293129473e-07,250.29999999999885,335.98333333333335,3.731192063166645e-235
2025-01-15,0.240817831023823,-6.397363803361783e-07,255.9,327.48333333333335,0.0
2024-12-11,0.0007824421046967833,-1.932506927287203e-08,160.09999999999857,335.98333333333335,0.0008026137383980144
2024-11-13,0.7687681505939074,-2.1219540860708245e-06,342.9000000000015,335.98333333333335,0.0
2024-10-10,0.9206364061343731,-1.8806073990629008e-06,279.7000000000005,335.98333333333335,0.0
2024-09-11,0.21507443108026952,-3.224812926214859e-07,134.60000000000028,335.98333333333335,0.0
2024-08-14,0.5306891833062003,9.960386910770122e-07,250.39999999999952,335.98333333333335,0.0
2024-07-11,0.8375161183020471,1.0643334806632645e-06,172.09999999999948,335.98333333333335,0.0
2024-05-15,0.6757408967997364,6.577234734233513e-07,164.5999999999992,335.98333333333335,0.0
2024-04-10,0.4248970719337136,6.195448194900173e-07,159.79999999999882,334.98333333333335,0.0
2024-03-12,0.7960301212087921,9.975019395041294e-07,181.8999999999993,335.98333333333335,0.0
2024-02-13,0.3278492836099819,-5.385469709690081e-07,173.29999999999845,335.98333333333335,0.0
2024-02-09,0.5042456969301337,-7.282774566587939e-07,173.29999999999845,335.98333333333335,0.0
2024-01-11,0.34681315349474023,-7.689949633506558e-07,242.19999999999908,335.98333333333335,0.0
