datetime,open,high,low,close
2025-09-11 12:20:00+02:00,1.16742,1.16754,1.16696,1.16733
2025-09-11 12:21:00+02:00,1.16732,1.16736,1.16719,1.16727
2025-09-11 12:22:00+02:00,1.16728,1.16749,1.16728,1.16731
2025-09-11 12:23:00+02:00,1.1673,1.16784,1.16719,1.16775
2025-09-11 12:24:00+02:00,1.16774,1.16803,1.16772,1.16792
2025-09-11 12:25:00+02:00,1.1679,1.1681,1.16783,1.1679
2025-09-11 12:26:00+02:00,1.1679,1.16823,1.16779,1.16823
2025-09-11 12:27:00+02:00,1.1682,1.16863,1.1682,1.16863
2025-09-11 12:28:00+02:00,1.16862,1.16892,1.16848,1.16885
2025-09-11 12:29:00+02:00,1.16885,1.16892,1.16857,1.16874
2025-09-11 12:30:00+02:00,1.16874,1.171,1.16615,1.17027
2025-09-11 12:31:00+02:00,1.17027,1.1715,1.17019,1.17142
2025-09-11 12:32:00+02:00,1.17139,1.17185,1.17081,1.17108
2025-09-11 12:33:00+02:00,1.17106,1.17175,1.17093,1.1711
2025-09-11 12:34:00+02:00,1.17113,1.17174,1.17113,1.17161
2025-09-11 12:35:00+02:00,1.17162,1.17211,1.17162,1.17201
2025-09-11 12:36:00+02:00,1.17201,1.17203,1.17163,1.17176
2025-09-11 12:37:00+02:00,1.17173,1.17193,1.17148,1.17148
2025-09-11 12:38:00+02:00,1.1715,1.17156,1.17116,1.17128
2025-09-11 12:39:00+02:00,1.17126,1.17129,1.17087,1.17117
2025-09-11 12:40:00+02:00,1.17116,1.17116,1.17062,1.17094
2025-09-11 12:41:00+02:00,1.17097,1.17138,1.17092,1.17104
2025-09-11 12:42:00+02:00,1.17103,1.17112,1.17044,1.17045
2025-09-11 12:43:00+02:00,1.17044,1.17047,1.16963,1.16969
2025-09-11 12:44:00+02:00,1.16969,1.17056,1.16969,1.17056
2025-09-11 12:45:00+02:00,1.17058,1.1708,1.17033,1.17043
2025-09-11 12:46:00+02:00,1.17042,1.17046,1.16984,1.16984
2025-09-11 12:47:00+02:00,1.16985,1.16992,1.16942,1.16989
2025-09-11 12:48:00+02:00,1.16988,1.16988,1.16935,1.16937
2025-09-11 12:49:00+02:00,1.16938,1.1699,1.16928,1.16983
2025-09-11 12:50:00+02:00,1.16984,1.17005,1.16963,1.16965
2025-09-11 12:51:00+02:00,1.16967,1.16974,1.16925,1.1694
2025-09-11 12:52:00+02:00,1.16945,1.17048,1.1694,1.17031
2025-09-11 12:53:00+02:00,1.17033,1.17052,1.16995,1.17013
2025-09-11 12:54:00+02:00,1.17015,1.17045,1.17006,1.17042
2025-09-11 12:55:00+02:00,1.17044,1.1709,1.17022,1.17056
2025-09-11 12:56:00+02:00,1.1706,1.17166,1.17031,1.1716
2025-09-11 12:57:00+02:00,1.17159,1.17193,1.17136,1.1716
2025-09-11 12:58:00+02:00,1.17161,1.17164,1.17108,1.17118
2025-09-11 12:59:00+02:00,1.17119,1.17155,1.17119,1.17152
2025-09-11 13:00:00+02:00,1.17152,1.17192,1.17152,1.17183
2025-09-11 13:01:00+02:00,1.17183,1.17206,1.17169,1.17203
2025-09-11 13:02:00+02:00,1.17197,1.17253,1.1717,1.17226
2025-09-11 13:03:00+02:00,1.17227,1.1737,1.17227,1.17353
2025-09-11 13:04:00+02:00,1.17354,1.17369,1.17292,1.17299
2025-09-11 13:05:00+02:00,1.17299,1.17358,1.17294,1.17353
2025-09-11 13:06:00+02:00,1.17353,1.17363,1.17301,1.17323
2025-09-11 13:07:00+02:00,1.17324,1.17361,1.1731,1.17329
2025-09-11 13:08:00+02:00,1.17329,1.17387,1.17328,1.17369
2025-09-11 13:09:00+02:00,1.17367,1.17391,1.17343,1.17383
2025-09-11 13:10:00+02:00,1.17383,1.17384,1.17335,1.17352
2025-09-11 13:11:00+02:00,1.17349,1.17349,1.17305,1.17314
2025-09-11 13:12:00+02:00,1.17315,1.17327,1.17275,1.17293
2025-09-11 13:13:00+02:00,1.17292,1.17294,1.17252,1.17272
2025-09-11 13:14:00+02:00,1.17273,1.17285,1.17228,1.17285
2025-09-11 13:15:00+02:00,1.17286,1.17299,1.17234,1.17247
2025-09-11 13:16:00+02:00,1.17249,1.17251,1.17208,1.17248
2025-09-11 13:17:00+02:00,1.17251,1.17251,1.17152,1.17183
2025-09-11 13:18:00+02:00,1.17182,1.17203,1.17176,1.17176
2025-09-11 13:19:00+02:00,1.17178,1.17221,1.17175,1.172
2025-09-11 13:20:00+02:00,1.172,1.17213,1.17163,1.17168
2025-09-11 13:21:00+02:00,1.1717,1.1721,1.17143,1.17207
2025-09-11 13:22:00+02:00,1.17208,1.17274,1.17201,1.1727
2025-09-11 13:23:00+02:00,1.17271,1.17295,1.17262,1.17276
2025-09-11 13:24:00+02:00,1.17277,1.17287,1.17261,1.17262
2025-09-11 13:25:00+02:00,1.17263,1.17277,1.17217,1.17217
2025-09-11 13:26:00+02:00,1.17217,1.17234,1.17205,1.17231
2025-09-11 13:27:00+02:00,1.17232,1.17248,1.17219,1.17232
2025-09-11 13:28:00+02:00,1.17231,1.17249,1.17199,1.17228
2025-09-11 13:29:00+02:00,1.17224,1.17257,1.17223,1.17253
2025-09-11 13:30:00+02:00,1.17254,1.17267,1.17234,1.17259
