date,event_time,num_events,max_score,avg_score,surprise_max,surprise_avg,impact_real_pips,direction,price_start,price_peak,families
2025-10-17,14:30:00,10,61.492477137506555,60.992502433146925,0.0,0.0,12.300000000000644,UP,1.16666,1.16789,Employment|Other
2025-10-15,14:30:00,10,46.131002713643156,44.662694821927154,0.0,0.0,22.200000000001108,UP,1.16238,1.1646,Inflation|Other
2025-10-03,14:30:00,9,67.6438161052937,61.999070439578986,0.0,0.0,7.4000000000018495,DOWN,1.17426,1.17352,Employment|Other
2025-10-01,15:45:00,8,100.0,87.08457868221842,0.05048543689320391,0.020528265603670732,13.499999999999623,DOWN,1.17296,1.17161,Manufacturing|Consumer|Employment
2025-09-17,20:00:00,13,75.71116767335741,63.67829035395112,0.0,0.0,15.600000000000058,DOWN,1.18247,1.18091,Interest Rates
2025-09-11,14:30:00,11,46.131002713643156,44.309981195793334,0.3333333333333335,0.03731834171327228,12.699999999998823,UP,1.17321,1.17448,Inflation|Other
2025-09-05,14:30:00,12,67.6438161052937,61.455776527094514,1.4,0.24152445229124658,24.999999999999467,UP,1.17341,1.17591,Employment|Other
2025-09-02,15:45:00,8,100.0,87.08457868221842,0.0708333333333333,0.01582550049243068,12.499999999999734,DOWN,1.16548,1.16423,Manufacturing|Consumer|Employment
2025-08-12,14:30:00,11,46.131002713643156,44.309981195793334,0.03571428571428559,0.011712476802927798,41.59999999999941,UP,1.16534,1.1695,Inflation|Other
2025-08-01,14:30:00,17,100.0,73.80401549493871,5.0,0.9618324196782273,31.200000000000117,DOWN,1.15684,1.15372,Employment|Other|Manufacturing|Consumer
2025-07-15,14:30:00,11,46.131002713643156,44.309981195793334,0.33333333333333326,0.07779844961240308,20.000000000000018,DOWN,1.16222,1.16022,Inflation|Other
2025-07-03,14:30:00,12,67.6438161052937,61.455776527094514,0.4,0.16587441409031775,17.099999999998783,DOWN,1.17624,1.17453,Employment|Other
2025-07-01,15:45:00,8,100.0,87.08457868221842,0.4999999999999999,0.14134366730209982,10.300000000000864,UP,1.17715,1.17818,Manufacturing|Consumer|Employment
2025-06-11,14:30:00,11,46.131002713643156,44.309981195793334,0.6666666666666666,0.21727896965416268,18.800000000001038,UP,1.14715,1.14903,Inflation|Other
2025-06-06,14:30:00,12,67.6438161052937,61.455776527094514,7.0,0.7383177537330892,32.7999999999995,DOWN,1.1414,1.13812,Employment|Other
2025-06-02,15:45:00,8,100.0,87.08457868221842,2.3333333333333335,0.590290703260197,24.100000000000232,DOWN,1.14374,1.14133,Manufacturing|Consumer|Employment
2025-05-13,14:30:00,11,46.131002713643156,44.309981195793334,0.33333333333333326,0.12059319071727903,39.89999999999938,UP,1.11382,1.11781,Inflation|Other
2025-05-02,14:30:00,12,67.6438161052937,61.455776527094514,4.333333333333333,0.5233987791369795,43.199999999998795,DOWN,1.13644,1.13212,Employment|Other
2025-05-01,15:45:00,8,100.0,87.08457868221842,2.666666666666667,0.68844731571787,23.799999999998267,UP,1.12684,1.12922,Manufacturing|Consumer|Employment
2025-04-10,14:30:00,11,46.131002713643156,44.309981195793334,2.0,0.39533724625394684,89.50000000000014,UP,1.1136,1.12255,Inflation|Other
2025-04-04,14:30:00,10,61.492477137506555,61.212723814909204,4.8,0.6961833039514527,34.09999999999913,DOWN,1.09994,1.09653,Employment|Other
2025-04-01,15:45:00,8,100.0,87.08457868221842,1.3333333333333333,0.36093910587781897,8.099999999999774,DOWN,1.0801,1.07929,Manufacturing|Consumer|Employment
2025-03-07,14:30:00,8,61.492477137506555,61.29347723136463,1.55,0.3787790531184792,23.000000000001908,UP,1.08516,1.08746,Employment|Other
2025-03-03,15:45:00,8,100.0,87.08457868221842,1.6666666666666667,0.45903523660563145,10.499999999999954,DOWN,1.04981,1.04876,Manufacturing|Consumer|Employment
2025-02-07,14:30:00,8,61.492477137506555,61.29347723136463,2.5,0.407794750371519,56.39999999999867,DOWN,1.03714,1.0315,Employment|Other
2025-02-03,15:45:00,8,100.0,87.08457868221842,1.4999999999999998,0.40293751710273185,28.799999999999937,DOWN,1.03038,1.0275,Manufacturing|Consumer|Employment
2025-01-10,14:30:00,10,61.492477137506555,61.212723814909204,3.6,0.6892343207629832,40.000000000000036,DOWN,1.02678,1.02278,Employment|Other
2024-12-06,14:30:00,8,61.492477137506555,61.29347723136463,0.3333333333333335,0.1035994816586922,19.300000000002093,DOWN,1.05655,1.05462,Employment|Other
2024-12-02,15:45:00,8,100.0,87.08457868221842,1.0,0.27835356437445435,12.499999999999734,UP,1.04851,1.04976,Manufacturing|Consumer|Employment
2024-11-01,12:30:00,18,100.0,72.63141065767519,1.3111111111111111,0.3811905776230265,20.399999999998197,DOWN,1.08706,1.08502,Other|Employment|Manufacturing|Consumer
2024-10-04,14:30:00,12,67.6438161052937,61.455776527094514,5.2,0.644883931768196,18.400000000000638,DOWN,1.09714,1.0953,Employment|Other
2024-10-01,15:45:00,8,100.0,87.08457868221842,2.0,0.5226277171458097,18.700000000000383,DOWN,1.10649,1.10462,Manufacturing|Consumer|Employment
2024-09-06,14:30:00,12,67.6438161052937,61.455776527094514,2.0,0.27131920910134766,46.70000000000174,UP,1.10875,1.11342,Employment|Other
2024-09-03,15:45:00,8,100.0,87.08457868221842,0.06498951781970652,0.026514879015186496,8.500000000000174,UP,1.10379,1.10464,Manufacturing|Consumer|Employment
2024-08-02,14:30:00,12,67.6438161052937,61.455776527094514,2.0,0.31821312153012,11.499999999999844,DOWN,1.09164,1.09049,Employment|Other
