date,event_time,num_events,max_score,avg_score,surprise_max,impact_real_pips,price_start,price_peak
2025-10-17 00:00:00,14:30:00,10,61.492477137506555,60.992502433146925,0.0,12.300000000000644,1.16666,1.16789
2025-10-15 00:00:00,14:30:00,10,46.131002713643156,44.662694821927154,0.0,22.200000000001108,1.16238,1.1646
2025-10-14 00:00:00,13:00:00,1,100.0,100.0,0.0,40.299999999999784,1.15557,1.1596
2025-10-08 00:00:00,20:00:00,2,45.77832801413763,45.77832801413763,0.0,4.8000000000003595,1.16282,1.1633
2025-10-03 00:00:00,14:30:00,9,67.6438161052937,61.999070439578986,0.0,7.4000000000018495,1.17426,1.17352
2025-10-01 00:00:00,15:45:00,8,100.0,87.08457868221842,0.05048543689320391,13.499999999999623,1.17296,1.17161
2025-09-23 00:00:00,15:45:00,2,63.305740150233156,63.30574015023315,0.0,25.600000000001177,1.17918,1.18174
2025-09-17 00:00:00,20:00:00,13,75.71116767335741,63.67829035395112,0.0,15.600000000000058,1.18247,1.18091
2025-09-11 00:00:00,14:30:00,11,46.131002713643156,44.309981195793334,0.3333333333333335,12.699999999998823,1.17321,1.17448
2025-09-05 00:00:00,14:30:00,12,67.6438161052937,61.455776527094514,1.4,24.999999999999467,1.17341,1.17591
2025-09-02 00:00:00,15:45:00,8,100.0,87.08457868221842,0.0708333333333333,12.499999999999734,1.16548,1.16423
2025-08-21 00:00:00,15:45:00,2,63.305740150233156,63.30574015023315,0.0767676767676767,12.499999999999734,1.16142,1.16017
2025-08-12 00:00:00,14:30:00,11,46.131002713643156,44.309981195793334,0.03571428571428559,41.59999999999941,1.16534,1.1695
2025-08-01 00:00:00,14:30:00,17,100.0,73.80401549493871,5.0,31.200000000000117,1.15684,1.15372
2025-07-15 00:00:00,14:30:00,11,46.131002713643156,44.309981195793334,0.33333333333333326,20.000000000000018,1.16222,1.16022
2025-07-03 00:00:00,14:30:00,12,67.6438161052937,61.455776527094514,0.4,17.099999999998783,1.17624,1.17453
2025-07-01 00:00:00,15:45:00,8,100.0,87.08457868221842,0.4999999999999999,10.300000000000864,1.17715,1.17818
2025-06-11 00:00:00,14:30:00,11,46.131002713643156,44.309981195793334,0.6666666666666666,18.800000000001038,1.14715,1.14903
2025-06-06 00:00:00,14:30:00,12,67.6438161052937,61.455776527094514,7.0,32.7999999999995,1.1414,1.13812
2025-06-02 00:00:00,15:45:00,8,100.0,87.08457868221842,2.3333333333333335,24.100000000000232,1.14374,1.14133
2025-05-13 00:00:00,14:30:00,11,46.131002713643156,44.309981195793334,0.33333333333333326,39.89999999999938,1.11382,1.11781
2025-05-02 00:00:00,14:30:00,12,67.6438161052937,61.455776527094514,4.333333333333333,43.199999999998795,1.13644,1.13212
2025-05-01 00:00:00,15:45:00,8,100.0,87.08457868221842,2.666666666666667,23.799999999998267,1.12684,1.12922
2025-04-10 00:00:00,14:30:00,11,46.131002713643156,44.309981195793334,2.0,89.50000000000014,1.1136,1.12255
2025-04-04 00:00:00,14:30:00,10,61.492477137506555,61.212723814909204,4.8,34.09999999999913,1.09994,1.09653
2025-04-01 00:00:00,15:45:00,8,100.0,87.08457868221842,1.3333333333333333,8.099999999999774,1.0801,1.07929
2025-03-12 00:00:00,13:30:00,5,45.13412286023265,43.35187704179871,0.03448275862068969,33.499999999999645,1.08924,1.09259
2025-03-07 00:00:00,14:30:00,8,61.492477137506555,61.29347723136463,1.55,23.000000000001908,1.08516,1.08746
2025-03-03 00:00:00,15:45:00,8,100.0,87.08457868221842,1.6666666666666667,10.499999999999954,1.04981,1.04876
2025-02-07 00:00:00,14:30:00,8,61.492477137506555,61.29347723136463,2.5,56.39999999999867,1.03714,1.0315
2025-02-03 00:00:00,15:45:00,8,100.0,87.08457868221842,1.4999999999999998,28.799999999999937,1.03038,1.0275
2025-01-10 00:00:00,14:30:00,10,61.492477137506555,61.212723814909204,3.6,40.000000000000036,1.02678,1.02278
2025-01-03 00:00:00,16:00:00,4,92.51628728932027,92.51628728932027,0.05625000000000006,14.000000000000679,1.0291,1.0305
2025-01-02 00:00:00,15:45:00,4,100.0,81.65287007511657,0.02277432712215324,20.600000000001728,1.02459,1.02665
2024-12-06 00:00:00,14:30:00,8,61.492477137506555,61.29347723136463,0.3333333333333335,19.300000000002093,1.05655,1.05462
2024-12-02 00:00:00,15:45:00,8,100.0,87.08457868221842,1.0,12.499999999999734,1.04851,1.04976
2024-11-01 00:00:00,12:30:00,18,100.0,72.63141065767519,1.3111111111111111,20.399999999998197,1.08706,1.08502
2024-10-04 00:00:00,14:30:00,12,67.6438161052937,61.455776527094514,5.2,18.400000000000638,1.09714,1.0953
2024-10-01 00:00:00,15:45:00,8,100.0,87.08457868221842,2.0,18.700000000000383,1.10649,1.10462
2024-09-06 00:00:00,14:30:00,12,67.6438161052937,61.455776527094514,2.0,46.70000000000174,1.10875,1.11342
2024-09-03 00:00:00,15:45:00,8,100.0,87.08457868221842,0.06498951781970652,8.500000000000174,1.10379,1.10464
2024-08-02 00:00:00,14:30:00,12,67.6438161052937,61.455776527094514,2.0,11.499999999999844,1.09164,1.09049
