event_name,empirical_score,event_key_principal,importance,num_variants,justification,all_variants
inflation_rate,48.84,inflation rate_mom,HIGH,4,MoM prioritaire (réaction immédiate, n=25),inflation rate_mom (n=25) | core inflation rate_mom (n=25) | core inflation rate_yoy (n=24) | inflation rate_yoy (n=23)
core_inflation_rate,47.18,core inflation rate_mom,HIGH,2,MoM prioritaire (réaction immédiate, n=25),core inflation rate_mom (n=25) | core inflation rate_yoy (n=24)
gdp_growth_rate,38.52,gdp growth rate_qoq,HIGH,2,QoQ final prioritaire (sample size, n=21),gdp growth rate_qoq (n=21) | gdp growth rate qoq adv (n=7)
gdp_sales,38.06,gdp sales_qoq,HIGH,2,QoQ final prioritaire (sample size, n=20),gdp sales_qoq (n=20) | gdp sales qoq adv (n=7)
gdp_price_index,38.06,gdp price index_qoq,HIGH,2,QoQ final prioritaire (sample size, n=20),gdp price index_qoq (n=20) | gdp price index qoq adv (n=7)
nonfarm_productivity,20.66,nonfarm productivity_qoq,HIGH,1,Seule variante disponible (n=16),nonfarm productivity_qoq (n=16)
average_hourly_earnings,60.63,average hourly earnings_mom,MED,2,MoM prioritaire (réaction immédiate, n=24),average hourly earnings_mom (n=24) | average hourly earnings_yoy (n=23)
real_consumer_spending,40.72,real consumer spending_qoq,MED,2,QoQ final prioritaire (sample size, n=21),real consumer spending_qoq (n=21) | real consumer spending qoq adv (n=7)
core_pce_prices,40.31,core pce prices_qoq,MED,2,QoQ final prioritaire (sample size, n=20),core pce prices_qoq (n=20) | core pce prices qoq adv (n=7)
pce_prices,38.52,pce prices_qoq,MED,4,QoQ final prioritaire (sample size, n=20),core pce prices_qoq (n=20) | pce prices_qoq (n=20) | core pce prices qoq adv (n=7) | pce prices qoq adv (n=7)
retail_sales,34.68,retail sales_mom,MED,4,MoM prioritaire (réaction immédiate, n=23),retail sales ex autos_mom (n=23) | retail sales_yoy (n=23) | retail sales_mom (n=23) | retail sales ex gas/autos_mom (n=22)
trade_balance,34.47,goods trade balance adv,MED,2,Plus grand sample size (n=21),goods trade balance adv (n=21) | goods trade balance (n=16)
retail_sales_ex_autos,32.54,retail sales ex autos_mom,MED,1,Seule variante disponible (n=23),retail sales ex autos_mom (n=23)
retail_sales_ex_gas/autos,32.41,retail sales ex gas/autos_mom,MED,1,Seule variante disponible (n=22),retail sales ex gas/autos_mom (n=22)
core_ppi,31.63,core ppi_mom,MED,2,MoM prioritaire (réaction immédiate, n=26),core ppi_mom (n=26) | core ppi_yoy (n=25)
corporate_profits,31.68,corporate profits_qoq,MED,1,Seule variante disponible (n=14),corporate profits_qoq (n=14)
producer_price_index,31.45,producer price index_mom,MED,2,MoM prioritaire (réaction immédiate, n=3),producer price index_yoy (n=3) | producer price index_mom (n=3)
ppi_ex_food,_energy_and_trade,28.98,ppi ex food, energy and trade_mom,MED,2,MoM prioritaire (réaction immédiate, n=16),ppi ex food, energy and trade_yoy (n=16) | ppi ex food, energy and trade_mom (n=16)
construction_spending,27.07,construction spending_mom,MED,1,Seule variante disponible (n=24),construction spending_mom (n=24)
core_pce_price_index,26.98,core pce price index_mom,MED,2,MoM prioritaire (réaction immédiate, n=23),core pce price index_yoy (n=24) | core pce price index_mom (n=23)
export_prices,26.56,export prices_mom,MED,2,MoM prioritaire (réaction immédiate, n=24),export prices_yoy (n=24) | export prices_mom (n=24)
personal_spending,26.32,personal spending_mom,MED,1,Seule variante disponible (n=24),personal spending_mom (n=24)
pce_price_index,25.38,pce price index_mom,MED,4,MoM prioritaire (réaction immédiate, n=24),pce price index_mom (n=24) | pce price index_yoy (n=24) | core pce price index_yoy (n=24) | core pce price index_mom (n=23)
import_prices,25.48,import prices_mom,MED,2,MoM prioritaire (réaction immédiate, n=24),import prices_yoy (n=24) | import prices_mom (n=24)
retail_inventories_ex_autos,25.44,retail inventories ex autos_mom,MED,2,MoM prioritaire (réaction immédiate, n=42),retail inventories ex autos_mom (n=42) | retail inventories ex autos mom adv (n=19)
wholesale_inventories,23.78,wholesale inventories_mom,MED,2,MoM prioritaire (réaction immédiate, n=41),wholesale inventories_mom (n=41) | wholesale inventories mom adv (n=19)
employment_cost_index,23.80,employment cost index_qoq,MED,1,Seule variante disponible (n=8),employment cost index_qoq (n=8)
unit_labour_costs,22.86,unit labour costs_qoq,MED,1,Seule variante disponible (n=16),unit labour costs_qoq (n=16)
business_inventories,22.54,business inventories_mom,MED,1,Seule variante disponible (n=25),business inventories_mom (n=25)
manufacturing_production,22.10,manufacturing production_mom,MED,2,MoM prioritaire (réaction immédiate, n=24),manufacturing production_yoy (n=24) | manufacturing production_mom (n=24)
wholesale_sales,21.84,wholesale sales_mom,MED,1,Seule variante disponible (n=1),wholesale sales_mom (n=1)
leading_index,21.60,cb leading index_mom,MED,2,Plus grand sample size (n=22),cb leading index_mom (n=22) | leading index_mom (n=1)
used_car_prices,20.60,used car prices_mom,MED,2,MoM prioritaire (réaction immédiate, n=22),used car prices_mom (n=22) | used car prices_yoy (n=22)
house_price_index,17.72,house price index_mom,MED,2,MoM prioritaire (réaction immédiate, n=24),house price index_mom (n=24) | house price index_yoy (n=24)
redbook,17.65,redbook_yoy,MED,1,Seule variante disponible (n=104),redbook_yoy (n=104)
cb_leading_index,17.73,cb leading index_mom,MED,1,Seule variante disponible (n=22),cb leading index_mom (n=22)
ppi,27.26,ppi_mom,MED,6,MoM prioritaire (réaction immédiate, n=22),core ppi_mom (n=26) | core ppi_yoy (n=25) | ppi_yoy (n=22) | ppi_mom (n=22) | ppi ex food, energy and trade_yoy (n=16) | ppi ex food, energy and trade_mom (n=16)
beige_book,8.79,fed beige book,MED,1,Seule variante disponible (n=15),fed beige book (n=15)
durable_goods_orders_ex_transp,27.13,durable goods orders ex transp_mom,LOW,1,Seule variante disponible (n=25),durable goods orders ex transp_mom (n=25)
durable_goods_orders_ex_defense,26.96,durable goods orders ex defense_mom,LOW,1,Seule variante disponible (n=25),durable goods orders ex defense_mom (n=25)
durable_goods_orders,26.52,durable goods orders_mom,LOW,3,MoM prioritaire (réaction immédiate, n=24),durable goods orders ex transp_mom (n=25) | durable goods orders ex defense_mom (n=25) | durable goods orders_mom (n=24)
factory_orders,25.06,factory orders_mom,LOW,2,MoM prioritaire (réaction immédiate, n=24),factory orders ex transportation (n=24) | factory orders_mom (n=24)
industrial_production,22.08,industrial production_mom,LOW,2,MoM prioritaire (réaction immédiate, n=24),industrial production_mom (n=24) | industrial production_yoy (n=24)
pending_home_sales,21.54,pending home sales_mom,LOW,2,MoM prioritaire (réaction immédiate, n=24),pending home sales_mom (n=24) | pending home sales_yoy (n=24)
existing_home_sales,19.30,existing home sales_mom,LOW,1,Seule variante disponible (n=24),existing home sales_mom (n=24)
housing_starts,17.00,housing starts_mom,LOW,1,Seule variante disponible (n=24),housing starts_mom (n=24)
