pattern_type,total_peaks,total_troughs,start_price,max_price,min_price,total_pips,date,num_events,max_surprise
linear,6,7,1.16812,1.16861,1.16713,4.899999999998794,2025-08-12 00:00:00,3,3.5714285714285587
linear,9,8,1.16026,1.1604,1.15932,1.40000000000029,2025-07-15 00:00:00,3,33.33333333333333
linear,6,7,1.1487,1.14963,1.14869,9.299999999998754,2025-06-11 00:00:00,3,66.66666666666666
linear,5,6,1.11709,1.11833,1.11678,12.400000000001299,2025-05-13 00:00:00,3,33.33333333333333
linear,7,7,1.1194,1.1204,1.11747,10.000000000001119,2025-04-10 00:00:00,3,66.66666666666666
