year,date,time,datetime,impact_reel_pips,duration_min,direction,nb_events,score_cumule,score_moyen,surprise_max,surprise_moyenne,surprise_cumule,ratio_concordance,coherence_famille,has_high_importance,events_list,families_list
2025,2025-04-04,07:11,2025-04-04 07:11:00+02:00,87.5,49.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,
2025,2025-04-04,10:06,2025-04-04 10:06:00+02:00,84.8,60.0,1,1,10.741698098277634,10.741698098277634,0.0,0.0,0.0,0.0,1.0,False,DE:New Car Registrations,Other
2025,2025-04-06,21:25,2025-04-06 21:25:00+02:00,105.1,58.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,
2025,2025-04-09,17:20,2025-04-09 17:20:00+02:00,143.3,58.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,
2025,2025-04-10,14:46,2025-04-10 14:46:00+02:00,84.9,56.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,
2025,2025-04-10,23:44,2025-04-10 23:44:00+02:00,145.6,48.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,JP:Unknown,
2025,2025-04-11,07:50,2025-04-11 07:50:00+02:00,124.5,60.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,
2025,2025-04-11,09:50,2025-04-11 09:50:00+02:00,85.2,53.0,-1,2,33.332893730382715,16.666446865191357,0.0,0.0,0.0,0.0,0.5,False,EU:ECB President Lagarde Speech | EU:ECB Lagarde Speech,ECB
2025,2025-04-22,21:27,2025-04-22 21:27:00+02:00,96.6,60.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,
2025,2025-05-12,06:56,2025-05-12 06:56:00+02:00,122.2,57.0,-1,5,0.0,0.0,568.9655172413793,221.2597701149425,1106.2988505747126,0.6,0.0,False,TR:Unknown | TR:Unknown | TR:Unknown | TR:Unknown | TR:Unknown,
2025,2025-07-16,14:39,2025-07-16 14:39:00+02:00,157.4,51.0,1,11,25.199964392161,2.290905853832818,605.8181818181819,262.2708422961121,2884.9792652572332,1.0,0.09090909090909091,False,US:Unknown | US:Unknown | US:Unknown | US:Unknown | US:Unknown | US:Unknown | US:Unknown | US:Unknown | US:Unknown | US:Unknown | US:Unknown,Trade Balance
2025,2025-07-30,18:35,2025-07-30 18:35:00+02:00,85.6,30.0,-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,US:Unknown | US:Unknown,
2025,2025-08-01,12:26,2025-08-01 12:26:00+02:00,176.2,60.0,1,9,557.9916339562108,61.99907043957897,300.0,68.78199920995111,619.03799288956,0.7777777777777778,0.3333333333333333,False,US:Average Hourly Earnings | US:Average Weekly Hours | US:Government Payrolls | US:Manufacturing Payrolls | US:Non Farm Payrolls | US:Nonfarm Payrolls Private | US:Participation Rate | US:U-6 Unemployment Rate | US:Unemployment Rate,Other | Employment | NFP | Unemployment
2025,2025-08-22,13:58,2025-08-22 13:58:00+02:00,120.6,60.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,US:Unknown,
2025,2025-09-17,18:08,2025-09-17 18:08:00+02:00,90.3,46.0,-1,13,827.8177746013645,63.67829035395111,8.823529411764701,1.6977994353559962,22.07139265962795,0.23076923076923078,0.7692307692307693,False,US:Unknown | US:Unknown | US:FOMC Minutes | US:Interest Rate Projection - 1st Yr | US:Interest Rate Projection - 2nd Yr | US:Interest Rate Projection - 3rd Yr | US:Interest Rate Projection - Current | US:Interest Rate Projection - Longer | US:Unknown | US:Unknown | US:Unknown | US:Unknown | US:Unknown,Fed Rate | FOMC | Interest Rates
